plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
Barry,3,,1,3--1,AL,SERC,GasSteam,15.17,153.1,SOCO_SYS,0.8872715857
Barry,3,2,2,3-2-2,AL,SERC,GasSteam,15.41,153.1,SOCO_SYS,0.9013088421
Barry,3,4,4,3-4-4,AL,SERC,GasSteam,9.33,403.8,SOCO_SYS,0.545698345
Barry,3,5,5,3-5-5,AL,SERC,Coal,14.02,788.8,SOCO_SYS,1.441585145
Barry,3,6A,A1CT,3-6A-A1CT,AL,SERC,GasCombinedCycle,8.29,170.1,SOCO_SYS,0.4848702337
Barry,3,6A,A1ST,3-6A-A1ST,AL,SERC,GasCombinedCycle,8.29,191.8,SOCO_SYS,0.4848702337
Barry,3,6B,A1CT2,3-6B-A1CT2,AL,SERC,GasCombinedCycle,8.29,170.1,SOCO_SYS,0.4848702337
Barry,3,6B,A1ST,3-6B-A1ST,AL,SERC,GasCombinedCycle,8.29,191.8,SOCO_SYS,0.4848702337
Barry,3,7A,A2C1,3-7A-A2C1,AL,SERC,GasCombinedCycle,8.29,170.1,SOCO_SYS,0.4848702337
Barry,3,7A,A2ST,3-7A-A2ST,AL,SERC,GasCombinedCycle,8.29,191.8,SOCO_SYS,0.4848702337
Barry,3,7B,A2ST,3-7B-A2ST,AL,SERC,GasCombinedCycle,8.29,191.8,SOCO_SYS,0.4848702337
Barry,3,7B,A2C2,3-7B-A2C2,AL,SERC,GasCombinedCycle,8.29,170.1,SOCO_SYS,0.4848702337
Barry,3,8,A3C1,3-8-A3C1,AL,SERC,GasCombinedCycle,6.26,457.0,SOCO_SYS,0.3661384394
Barry,3,8,A3ST,3-8-A3ST,AL,SERC,GasCombinedCycle,6.26,305.1,SOCO_SYS,0.3661384394
CopperStation,9,CTG-1,1,9-CTG-1-1,TX,MISO,GasTurbine,12.57,70.0,OTHER,0.7352013073
GreeneCounty,10,1,1,10-1-1,AL,SERC,GasSteam,11.32,299.2,SOCO_SYS,0.6620905966
GreeneCounty,10,2,2,10-2-2,AL,SERC,GasSteam,12.38,269.3,SOCO_SYS,0.7240884793
GreeneCounty,10,CT10,GT10,10-CT10-GT10,AL,SERC,GasTurbine,16.18,80.0,SOCO_SYS,0.9463450399
GreeneCounty,10,CT2,GT2,10-CT2-GT2,AL,SERC,GasTurbine,17.19,80.0,SOCO_SYS,1.005418494
GreeneCounty,10,CT3,GT3,10-CT3-GT3,AL,SERC,GasTurbine,16.34,80.0,SOCO_SYS,0.9557032109
GreeneCounty,10,CT4,GT4,10-CT4-GT4,AL,SERC,GasTurbine,16.18,80.0,SOCO_SYS,0.9463450399
GreeneCounty,10,CT5,GT5,10-CT5-GT5,AL,SERC,GasTurbine,16.18,80.0,SOCO_SYS,0.9463450399
GreeneCounty,10,CT6,GT6,10-CT6-GT6,AL,SERC,GasTurbine,16.36,80.0,SOCO_SYS,0.9568729823
GreeneCounty,10,CT7,GT7,10-CT7-GT7,AL,SERC,GasTurbine,16.18,80.0,SOCO_SYS,0.9463450399
GreeneCounty,10,CT8,GT8,10-CT8-GT8,AL,SERC,GasTurbine,20.69,80.0,SOCO_SYS,1.210128484
GreeneCounty,10,CT9,GT9,10-CT9-GT9,AL,SERC,GasTurbine,16.68,80.0,SOCO_SYS,0.9755893242
ECGaston,26,1,1,26-1-1,AL,SERC,GasSteam,20.08,272.0,SOCO_SYS,1.174450457
ECGaston,26,2,2,26-2-2,AL,SERC,GasSteam,19.57,272.0,SOCO_SYS,1.144621288
ECGaston,26,3,3,26-3-3,AL,SERC,GasSteam,18.67,272.0,SOCO_SYS,1.091981576
ECGaston,26,4,ST4,26-4-ST4,AL,SERC,GasSteam,14.85,244.8,SOCO_SYS,0.8685552437
ECGaston,26,5,5,26-5-5,AL,SERC,Coal,16.89,952.0,SOCO_SYS,1.736688523
Colbert,47,CCT1,GT1,47-CCT1-GT1,AL,SERC,GasTurbine,12.77,59.5,TVA_SYS,0.746899021
