region,tech,year,step,CapCost
1,1,2023,3,3716000
1,1,2024,3,3641680
1,1,2025,3,3567360
1,1,2026,3,3493040
1,1,2027,3,3418720
1,1,2028,3,3344400
1,1,2029,3,3270080
1,1,2030,3,3195760
1,1,2031,3,3121440
1,1,2032,3,3047120
1,1,2033,3,2972800
1,1,2034,3,2898480
1,1,2035,3,2824160
1,1,2036,3,2749840
1,1,2037,3,2675520
1,1,2038,3,2601200
1,1,2039,3,2526880
1,1,2040,3,2452560
1,1,2041,3,2378240
1,1,2042,3,2303920
1,1,2043,3,2229600
1,1,2044,3,2155280
1,1,2045,3,2080960
1,1,2046,3,2006640
1,1,2047,3,1932320
1,1,2048,3,1858000
1,1,2049,3,1783680
1,1,2050,3,1709360
1,3,2023,3,757000
1,3,2024,3,741860
1,3,2025,3,726720
1,3,2026,3,711580
1,3,2027,3,696440
1,3,2028,3,681300
1,3,2029,3,666160
1,3,2030,3,651020
1,3,2031,3,635880
1,3,2032,3,620740
1,3,2033,3,605600
1,3,2034,3,590460
1,3,2035,3,575320
1,3,2036,3,560180
1,3,2037,3,545040
1,3,2038,3,529900
1,3,2039,3,514760
1,3,2040,3,499620
1,3,2041,3,484480
1,3,2042,3,469340
1,3,2043,3,454200
1,3,2044,3,439060
1,3,2045,3,423920
1,3,2046,3,408780
1,3,2047,3,393640
1,3,2048,3,378500
1,3,2049,3,363360
1,3,2050,3,348220
1,4,2023,3,786000
1,4,2024,3,770280
1,4,2025,3,754560
1,4,2026,3,738840
1,4,2027,3,723120
1,4,2028,3,707400
1,4,2029,3,691680
1,4,2030,3,675960
1,4,2031,3,660240
1,4,2032,3,644520
1,4,2033,3,628800
1,4,2034,3,613080
1,4,2035,3,597360
1,4,2036,3,581640
1,4,2037,3,565920
1,4,2038,3,550200
1,4,2039,3,534480
1,4,2040,3,518760
1,4,2041,3,503040
1,4,2042,3,487320
1,4,2043,3,471600
1,4,2044,3,455880
1,4,2045,3,440160
1,4,2046,3,424440
1,4,2047,3,408720
1,4,2048,3,393000
1,4,2049,3,377280
1,4,2050,3,361560
1,6,2023,1,7477000
1,6,2024,1,7327460
1,6,2025,1,7177920
1,6,2026,1,7028380
1,6,2027,1,6878840
1,6,2028,1,6729300
1,6,2029,1,6579760
1,6,2030,1,6430220
1,6,2031,1,6280680
1,6,2032,1,6131140
1,6,2033,1,5981600
1,6,2034,1,5832060
1,6,2035,1,5682520
1,6,2036,1,5532980
1,6,2037,1,5383440
1,6,2038,1,5233900
1,6,2039,1,5084360
1,6,2040,1,4934820
1,6,2041,1,4785280
1,6,2042,1,4635740
1,6,2043,1,4486200
1,6,2044,1,4336660
1,6,2045,1,4187120
1,6,2046,1,4037580
1,6,2047,1,3888040
1,6,2048,1,3738500
1,6,2049,1,3588960
1,6,2050,1,3439420
1,7,2023,1,4379000
1,7,2024,1,4291420
1,7,2025,1,4203840
1,7,2026,1,4116260
1,7,2027,1,4028680
1,7,2028,1,3941100
1,7,2029,1,3853520
1,7,2030,1,3765940
1,7,2031,1,3678360
1,7,2032,1,3590780
1,7,2033,1,3503200
1,7,2034,1,3415620
1,7,2035,1,3328040
1,7,2036,1,3240460
1,7,2037,1,3152880
1,7,2038,1,3065300
1,7,2039,1,2977720
1,7,2040,1,2890140
1,7,2041,1,2802560
1,7,2042,1,2714980
1,7,2043,1,2627400
1,7,2044,1,2539820
1,7,2045,1,2452240
1,7,2046,1,2364660
1,7,2047,1,2277080
1,7,2048,1,2189500
1,7,2049,1,2101920
1,7,2050,1,2014340
1,8,2023,1,2950000
1,8,2024,1,2891000
1,8,2025,1,2832000
1,8,2026,1,2773000
1,8,2027,1,2714000
1,8,2028,1,2655000
1,8,2029,1,2596000
1,8,2030,1,2537000
1,8,2031,1,2478000
1,8,2032,1,2419000
1,8,2033,1,2360000
1,8,2034,1,2301000
1,8,2035,1,2242000
1,8,2036,1,2183000
1,8,2037,1,2124000
1,8,2038,1,2065000
1,8,2039,1,2006000
1,8,2040,1,1947000
1,8,2041,1,1888000
1,8,2042,1,1829000
1,8,2043,1,1770000
1,8,2044,1,1711000
1,8,2045,1,1652000
1,8,2046,1,1593000
1,8,2047,1,1534000
1,8,2048,1,1475000
1,8,2049,1,1416000
1,8,2050,1,1357000
1,14,2023,1,1344000
1,14,2024,1,1317120
1,14,2025,1,1290240
1,14,2026,1,1263360
1,14,2027,1,1236480
1,14,2028,1,1209600
1,14,2029,1,1182720
1,14,2030,1,1155840
1,14,2031,1,1128960
1,14,2032,1,1102080
1,14,2033,1,1075200
1,14,2034,1,1048320
1,14,2035,1,1021440
1,14,2036,1,994560
1,14,2037,1,967680
1,14,2038,1,940800
1,14,2039,1,913920
1,14,2040,1,887040
1,14,2041,1,860160
1,14,2042,1,833280
1,14,2043,1,806400
1,14,2044,1,779520
1,14,2045,1,752640
1,14,2046,1,725760
1,14,2047,1,698880
1,14,2048,1,672000
1,14,2049,1,645120
1,14,2050,1,618240
1,15,2023,1,1361000
1,15,2024,1,1333780
1,15,2025,1,1306560
1,15,2026,1,1279340
1,15,2027,1,1252120
1,15,2028,1,1224900
1,15,2029,1,1197680
1,15,2030,1,1170460
1,15,2031,1,1143240
1,15,2032,1,1116020
1,15,2033,1,1088800
1,15,2034,1,1061580
1,15,2035,1,1034360
1,15,2036,1,1007140
1,15,2037,1,979920
1,15,2038,1,952700
1,15,2039,1,925480
1,15,2040,1,898260
1,15,2041,1,871040
1,15,2042,1,843820
1,15,2043,1,816600
1,15,2044,1,789380
1,15,2045,1,762160
1,15,2046,1,734940
1,15,2047,1,707720
1,15,2048,1,680500
1,15,2049,1,653280
1,15,2050,1,626060
2,1,2023,3,3716000
2,1,2024,3,3641680
2,1,2025,3,3567360
2,1,2026,3,3493040
2,1,2027,3,3418720
2,1,2028,3,3344400
2,1,2029,3,3270080
2,1,2030,3,3195760
2,1,2031,3,3121440
2,1,2032,3,3047120
2,1,2033,3,2972800
2,1,2034,3,2898480
2,1,2035,3,2824160
2,1,2036,3,2749840
2,1,2037,3,2675520
2,1,2038,3,2601200
2,1,2039,3,2526880
2,1,2040,3,2452560
2,1,2041,3,2378240
2,1,2042,3,2303920
2,1,2043,3,2229600
2,1,2044,3,2155280
2,1,2045,3,2080960
2,1,2046,3,2006640
2,1,2047,3,1932320
2,1,2048,3,1858000
2,1,2049,3,1783680
2,1,2050,3,1709360
2,3,2023,3,757000
2,3,2024,3,741860
2,3,2025,3,726720
2,3,2026,3,711580
2,3,2027,3,696440
2,3,2028,3,681300
2,3,2029,3,666160
2,3,2030,3,651020
2,3,2031,3,635880
2,3,2032,3,620740
2,3,2033,3,605600
2,3,2034,3,590460
2,3,2035,3,575320
2,3,2036,3,560180
2,3,2037,3,545040
2,3,2038,3,529900
2,3,2039,3,514760
2,3,2040,3,499620
2,3,2041,3,484480
2,3,2042,3,469340
2,3,2043,3,454200
2,3,2044,3,439060
2,3,2045,3,423920
2,3,2046,3,408780
2,3,2047,3,393640
2,3,2048,3,378500
2,3,2049,3,363360
2,3,2050,3,348220
2,4,2023,3,786000
2,4,2024,3,770280
2,4,2025,3,754560
2,4,2026,3,738840
2,4,2027,3,723120
2,4,2028,3,707400
2,4,2029,3,691680
2,4,2030,3,675960
2,4,2031,3,660240
2,4,2032,3,644520
2,4,2033,3,628800
2,4,2034,3,613080
2,4,2035,3,597360
2,4,2036,3,581640
2,4,2037,3,565920
2,4,2038,3,550200
2,4,2039,3,534480
2,4,2040,3,518760
2,4,2041,3,503040
2,4,2042,3,487320
2,4,2043,3,471600
2,4,2044,3,455880
2,4,2045,3,440160
2,4,2046,3,424440
2,4,2047,3,408720
2,4,2048,3,393000
2,4,2049,3,377280
2,4,2050,3,361560
2,6,2023,1,7477000
2,6,2024,1,7327460
2,6,2025,1,7177920
2,6,2026,1,7028380
2,6,2027,1,6878840
2,6,2028,1,6729300
2,6,2029,1,6579760
2,6,2030,1,6430220
2,6,2031,1,6280680
2,6,2032,1,6131140
2,6,2033,1,5981600
2,6,2034,1,5832060
2,6,2035,1,5682520
2,6,2036,1,5532980
2,6,2037,1,5383440
2,6,2038,1,5233900
2,6,2039,1,5084360
2,6,2040,1,4934820
2,6,2041,1,4785280
2,6,2042,1,4635740
2,6,2043,1,4486200
2,6,2044,1,4336660
2,6,2045,1,4187120
2,6,2046,1,4037580
2,6,2047,1,3888040
2,6,2048,1,3738500
2,6,2049,1,3588960
2,6,2050,1,3439420
2,7,2023,1,4379000
2,7,2024,1,4291420
2,7,2025,1,4203840
2,7,2026,1,4116260
2,7,2027,1,4028680
2,7,2028,1,3941100
2,7,2029,1,3853520
2,7,2030,1,3765940
2,7,2031,1,3678360
2,7,2032,1,3590780
2,7,2033,1,3503200
2,7,2034,1,3415620
2,7,2035,1,3328040
2,7,2036,1,3240460
2,7,2037,1,3152880
2,7,2038,1,3065300
2,7,2039,1,2977720
2,7,2040,1,2890140
2,7,2041,1,2802560
2,7,2042,1,2714980
2,7,2043,1,2627400
2,7,2044,1,2539820
2,7,2045,1,2452240
2,7,2046,1,2364660
2,7,2047,1,2277080
2,7,2048,1,2189500
2,7,2049,1,2101920
2,7,2050,1,2014340
2,8,2023,1,2950000
2,8,2024,1,2891000
2,8,2025,1,2832000
2,8,2026,1,2773000
2,8,2027,1,2714000
2,8,2028,1,2655000
2,8,2029,1,2596000
2,8,2030,1,2537000
2,8,2031,1,2478000
2,8,2032,1,2419000
2,8,2033,1,2360000
2,8,2034,1,2301000
2,8,2035,1,2242000
2,8,2036,1,2183000
2,8,2037,1,2124000
2,8,2038,1,2065000
2,8,2039,1,2006000
2,8,2040,1,1947000
2,8,2041,1,1888000
2,8,2042,1,1829000
2,8,2043,1,1770000
2,8,2044,1,1711000
2,8,2045,1,1652000
2,8,2046,1,1593000
2,8,2047,1,1534000
2,8,2048,1,1475000
2,8,2049,1,1416000
2,8,2050,1,1357000
2,14,2023,1,1344000
2,14,2024,1,1317120
2,14,2025,1,1290240
2,14,2026,1,1263360
2,14,2027,1,1236480
2,14,2028,1,1209600
2,14,2029,1,1182720
2,14,2030,1,1155840
2,14,2031,1,1128960
2,14,2032,1,1102080
2,14,2033,1,1075200
2,14,2034,1,1048320
2,14,2035,1,1021440
2,14,2036,1,994560
2,14,2037,1,967680
2,14,2038,1,940800
2,14,2039,1,913920
2,14,2040,1,887040
2,14,2041,1,860160
2,14,2042,1,833280
2,14,2043,1,806400
2,14,2044,1,779520
2,14,2045,1,752640
2,14,2046,1,725760
2,14,2047,1,698880
2,14,2048,1,672000
2,14,2049,1,645120
2,14,2050,1,618240
2,15,2023,1,1361000
2,15,2024,1,1333780
2,15,2025,1,1306560
2,15,2026,1,1279340
2,15,2027,1,1252120
2,15,2028,1,1224900
2,15,2029,1,1197680
2,15,2030,1,1170460
2,15,2031,1,1143240
2,15,2032,1,1116020
2,15,2033,1,1088800
2,15,2034,1,1061580
2,15,2035,1,1034360
2,15,2036,1,1007140
2,15,2037,1,979920
2,15,2038,1,952700
2,15,2039,1,925480
2,15,2040,1,898260
2,15,2041,1,871040
2,15,2042,1,843820
2,15,2043,1,816600
2,15,2044,1,789380
2,15,2045,1,762160
2,15,2046,1,734940
2,15,2047,1,707720
2,15,2048,1,680500
2,15,2049,1,653280
2,15,2050,1,626060
3,1,2023,3,3716000
3,1,2024,3,3641680
3,1,2025,3,3567360
3,1,2026,3,3493040
3,1,2027,3,3418720
3,1,2028,3,3344400
3,1,2029,3,3270080
3,1,2030,3,3195760
3,1,2031,3,3121440
3,1,2032,3,3047120
3,1,2033,3,2972800
3,1,2034,3,2898480
3,1,2035,3,2824160
3,1,2036,3,2749840
3,1,2037,3,2675520
3,1,2038,3,2601200
3,1,2039,3,2526880
3,1,2040,3,2452560
3,1,2041,3,2378240
3,1,2042,3,2303920
3,1,2043,3,2229600
3,1,2044,3,2155280
3,1,2045,3,2080960
3,1,2046,3,2006640
3,1,2047,3,1932320
3,1,2048,3,1858000
3,1,2049,3,1783680
3,1,2050,3,1709360
3,3,2023,3,757000
3,3,2024,3,741860
3,3,2025,3,726720
3,3,2026,3,711580
3,3,2027,3,696440
3,3,2028,3,681300
3,3,2029,3,666160
3,3,2030,3,651020
3,3,2031,3,635880
3,3,2032,3,620740
3,3,2033,3,605600
3,3,2034,3,590460
3,3,2035,3,575320
3,3,2036,3,560180
3,3,2037,3,545040
3,3,2038,3,529900
3,3,2039,3,514760
3,3,2040,3,499620
3,3,2041,3,484480
3,3,2042,3,469340
3,3,2043,3,454200
3,3,2044,3,439060
3,3,2045,3,423920
3,3,2046,3,408780
3,3,2047,3,393640
3,3,2048,3,378500
3,3,2049,3,363360
3,3,2050,3,348220
3,4,2023,3,786000
3,4,2024,3,770280
3,4,2025,3,754560
3,4,2026,3,738840
3,4,2027,3,723120
3,4,2028,3,707400
3,4,2029,3,691680
3,4,2030,3,675960
3,4,2031,3,660240
3,4,2032,3,644520
3,4,2033,3,628800
3,4,2034,3,613080
3,4,2035,3,597360
3,4,2036,3,581640
3,4,2037,3,565920
3,4,2038,3,550200
3,4,2039,3,534480
3,4,2040,3,518760
3,4,2041,3,503040
3,4,2042,3,487320
3,4,2043,3,471600
3,4,2044,3,455880
3,4,2045,3,440160
3,4,2046,3,424440
3,4,2047,3,408720
3,4,2048,3,393000
3,4,2049,3,377280
3,4,2050,3,361560
3,6,2023,1,7477000
3,6,2024,1,7327460
3,6,2025,1,7177920
3,6,2026,1,7028380
3,6,2027,1,6878840
3,6,2028,1,6729300
3,6,2029,1,6579760
3,6,2030,1,6430220
3,6,2031,1,6280680
3,6,2032,1,6131140
3,6,2033,1,5981600
3,6,2034,1,5832060
3,6,2035,1,5682520
3,6,2036,1,5532980
3,6,2037,1,5383440
3,6,2038,1,5233900
3,6,2039,1,5084360
3,6,2040,1,4934820
3,6,2041,1,4785280
3,6,2042,1,4635740
3,6,2043,1,4486200
3,6,2044,1,4336660
3,6,2045,1,4187120
3,6,2046,1,4037580
3,6,2047,1,3888040
3,6,2048,1,3738500
3,6,2049,1,3588960
3,6,2050,1,3439420
3,7,2023,1,4379000
3,7,2024,1,4291420
3,7,2025,1,4203840
3,7,2026,1,4116260
3,7,2027,1,4028680
3,7,2028,1,3941100
3,7,2029,1,3853520
3,7,2030,1,3765940
3,7,2031,1,3678360
3,7,2032,1,3590780
3,7,2033,1,3503200
3,7,2034,1,3415620
3,7,2035,1,3328040
3,7,2036,1,3240460
