region,tech,step,year,SupplyCurve
15,1,1,2023,3.84
15,1,2,2023,3.84
15,1,3,2023,3.84
16,1,1,2023,5.06
16,1,2,2023,5.06
16,1,3,2023,5.06
20,1,1,2023,0.98
20,1,2,2023,0.98
20,1,3,2023,0.98
6,1,1,2023,2.39
6,1,2,2023,2.39
6,1,3,2023,2.39
17,1,1,2023,3.47
17,1,2,2023,3.47
17,1,3,2023,3.47
21,1,1,2023,0
21,1,2,2023,0
21,1,3,2023,0
23,1,1,2023,0.77
23,1,2,2023,0.77
23,1,3,2023,0.77
22,1,1,2023,0.02
22,1,2,2023,0.02
22,1,3,2023,0.02
24,1,1,2023,2.96
24,1,2,2023,2.96
24,1,3,2023,2.96
7,1,1,2023,0.15
7,1,2,2023,0.15
7,1,3,2023,0.15
10,1,1,2023,1.54
10,1,2,2023,1.54
10,1,3,2023,1.54
13,1,1,2023,0.31
13,1,2,2023,0.31
13,1,3,2023,0.31
2,1,1,2023,1.33
2,1,2,2023,1.33
2,1,3,2023,1.33
25,1,1,2023,2.62
25,1,2,2023,2.62
25,1,3,2023,2.62
4,1,1,2023,8.88
4,1,2,2023,8.88
4,1,3,2023,8.88
12,1,1,2023,0
12,1,2,2023,0
12,1,3,2023,0
3,1,1,2023,4.88
3,1,2,2023,4.88
3,1,3,2023,4.88
18,1,1,2023,2.38
18,1,2,2023,2.38
18,1,3,2023,2.38
11,1,1,2023,6.99
11,1,2,2023,6.99
11,1,3,2023,6.99
5,1,1,2023,1.93
5,1,2,2023,1.93
5,1,3,2023,1.93
19,1,1,2023,1.44
19,1,2,2023,1.44
19,1,3,2023,1.44
9,1,1,2023,0
9,1,2,2023,0
9,1,3,2023,0
8,1,1,2023,0
8,1,2,2023,0
8,1,3,2023,0
14,1,1,2023,3.1
14,1,2,2023,3.1
14,1,3,2023,3.1
1,1,1,2023,3.05
1,1,2,2023,3.05
1,1,3,2023,3.05
15,1,1,2024,3.84
15,1,2,2024,3.84
15,1,3,2024,3.84
16,1,1,2024,4.96
16,1,2,2024,4.96
16,1,3,2024,4.96
20,1,1,2024,0.98
20,1,2,2024,0.98
20,1,3,2024,0.98
6,1,1,2024,2.39
6,1,2,2024,2.39
6,1,3,2024,2.39
17,1,1,2024,3.47
17,1,2,2024,3.47
17,1,3,2024,3.47
21,1,1,2024,0
21,1,2,2024,0
21,1,3,2024,0
23,1,1,2024,0.77
23,1,2,2024,0.77
23,1,3,2024,0.77
22,1,1,2024,0.02
22,1,2,2024,0.02
22,1,3,2024,0.02
24,1,1,2024,2.96
24,1,2,2024,2.96
24,1,3,2024,2.96
7,1,1,2024,0.15
7,1,2,2024,0.15
7,1,3,2024,0.15
10,1,1,2024,1.54
10,1,2,2024,1.54
10,1,3,2024,1.54
13,1,1,2024,0.31
13,1,2,2024,0.31
13,1,3,2024,0.31
2,1,1,2024,1.33
2,1,2,2024,1.33
2,1,3,2024,1.33
25,1,1,2024,2.62
25,1,2,2024,2.62
25,1,3,2024,2.62
4,1,1,2024,8.88
4,1,2,2024,8.88
4,1,3,2024,8.88
12,1,1,2024,0
12,1,2,2024,0
12,1,3,2024,0
3,1,1,2024,4.88
3,1,2,2024,4.88
3,1,3,2024,4.88
18,1,1,2024,2.38
18,1,2,2024,2.38
18,1,3,2024,2.38
11,1,1,2024,6.93
11,1,2,2024,6.93
11,1,3,2024,6.93
5,1,1,2024,1.93
5,1,2,2024,1.93
5,1,3,2024,1.93
19,1,1,2024,1.44
19,1,2,2024,1.44
19,1,3,2024,1.44
9,1,1,2024,0
9,1,2,2024,0
9,1,3,2024,0
8,1,1,2024,0
8,1,2,2024,0
8,1,3,2024,0
14,1,1,2024,2.97
14,1,2,2024,2.97
14,1,3,2024,2.97
1,1,1,2024,3.05
1,1,2,2024,3.05
1,1,3,2024,3.05
15,1,1,2025,3.84
15,1,2,2025,3.84
15,1,3,2025,3.84
16,1,1,2025,4.96
16,1,2,2025,4.96
16,1,3,2025,4.96
20,1,1,2025,0.98
20,1,2,2025,0.98
20,1,3,2025,0.98
6,1,1,2025,2.39
6,1,2,2025,2.39
6,1,3,2025,2.39
17,1,1,2025,3.47
17,1,2,2025,3.47
17,1,3,2025,3.47
21,1,1,2025,0
21,1,2,2025,0
21,1,3,2025,0
23,1,1,2025,0.54
23,1,2,2025,0.54
23,1,3,2025,0.54
22,1,1,2025,0.02
22,1,2,2025,0.02
22,1,3,2025,0.02
24,1,1,2025,2.7
24,1,2,2025,2.7
24,1,3,2025,2.7
7,1,1,2025,0.15
7,1,2,2025,0.15
7,1,3,2025,0.15
10,1,1,2025,1.11
10,1,2,2025,1.11
10,1,3,2025,1.11
13,1,1,2025,0.31
13,1,2,2025,0.31
13,1,3,2025,0.31
2,1,1,2025,1.18
2,1,2,2025,1.18
2,1,3,2025,1.18
25,1,1,2025,1.73
25,1,2,2025,1.73
25,1,3,2025,1.73
4,1,1,2025,7.83
4,1,2,2025,7.83
4,1,3,2025,7.83
12,1,1,2025,0
12,1,2,2025,0
12,1,3,2025,0
3,1,1,2025,4.52
3,1,2,2025,4.52
3,1,3,2025,4.52
18,1,1,2025,2.38
18,1,2,2025,2.38
18,1,3,2025,2.38
11,1,1,2025,6.93
11,1,2,2025,6.93
11,1,3,2025,6.93
5,1,1,2025,1.45
5,1,2,2025,1.45
5,1,3,2025,1.45
19,1,1,2025,1.44
19,1,2,2025,1.44
19,1,3,2025,1.44
9,1,1,2025,0
9,1,2,2025,0
9,1,3,2025,0
8,1,1,2025,0
8,1,2,2025,0
8,1,3,2025,0
14,1,1,2025,2.97
14,1,2,2025,2.97
14,1,3,2025,2.97
1,1,1,2025,3.05
1,1,2,2025,3.05
1,1,3,2025,3.05
15,1,1,2026,3.84
15,1,2,2026,3.84
15,1,3,2026,3.84
16,1,1,2026,4.37
16,1,2,2026,4.37
16,1,3,2026,4.37
20,1,1,2026,0.98
20,1,2,2026,0.98
20,1,3,2026,0.98
6,1,1,2026,2.39
6,1,2,2026,2.39
6,1,3,2026,2.39
17,1,1,2026,3.3
17,1,2,2026,3.3
17,1,3,2026,3.3
21,1,1,2026,0
21,1,2,2026,0
21,1,3,2026,0
23,1,1,2026,0.54
23,1,2,2026,0.54
23,1,3,2026,0.54
22,1,1,2026,0.02
22,1,2,2026,0.02
22,1,3,2026,0.02
24,1,1,2026,2.7
24,1,2,2026,2.7
24,1,3,2026,2.7
7,1,1,2026,0.15
7,1,2,2026,0.15
7,1,3,2026,0.15
10,1,1,2026,0.98
10,1,2,2026,0.98
10,1,3,2026,0.98
13,1,1,2026,0.31
13,1,2,2026,0.31
13,1,3,2026,0.31
2,1,1,2026,1.18
2,1,2,2026,1.18
2,1,3,2026,1.18
25,1,1,2026,1.73
25,1,2,2026,1.73
25,1,3,2026,1.73
4,1,1,2026,7.83
4,1,2,2026,7.83
4,1,3,2026,7.83
12,1,1,2026,0
12,1,2,2026,0
12,1,3,2026,0
3,1,1,2026,4.15
3,1,2,2026,4.15
3,1,3,2026,4.15
18,1,1,2026,2.38
18,1,2,2026,2.38
18,1,3,2026,2.38
11,1,1,2026,6.93
11,1,2,2026,6.93
11,1,3,2026,6.93
5,1,1,2026,1.45
5,1,2,2026,1.45
5,1,3,2026,1.45
19,1,1,2026,1.44
19,1,2,2026,1.44
19,1,3,2026,1.44
9,1,1,2026,0
9,1,2,2026,0
9,1,3,2026,0
8,1,1,2026,0
8,1,2,2026,0
8,1,3,2026,0
14,1,1,2026,2.97
14,1,2,2026,2.97
14,1,3,2026,2.97
1,1,1,2026,3.05
1,1,2,2026,3.05
1,1,3,2026,3.05
15,1,1,2027,3.5
15,1,2,2027,3.5
15,1,3,2027,3.5
16,1,1,2027,3.98
16,1,2,2027,3.98
16,1,3,2027,3.98
20,1,1,2027,0.85
20,1,2,2027,0.85
20,1,3,2027,0.85
6,1,1,2027,2.39
6,1,2,2027,2.39
6,1,3,2027,2.39
17,1,1,2027,3.3
17,1,2,2027,3.3
17,1,3,2027,3.3
21,1,1,2027,0
21,1,2,2027,0
21,1,3,2027,0
23,1,1,2027,0.54
23,1,2,2027,0.54
23,1,3,2027,0.54
22,1,1,2027,0.02
22,1,2,2027,0.02
22,1,3,2027,0.02
24,1,1,2027,2.37
24,1,2,2027,2.37
24,1,3,2027,2.37
7,1,1,2027,0.15
7,1,2,2027,0.15
7,1,3,2027,0.15
10,1,1,2027,0.98
10,1,2,2027,0.98
10,1,3,2027,0.98
13,1,1,2027,0.31
13,1,2,2027,0.31
13,1,3,2027,0.31
2,1,1,2027,1.18
2,1,2,2027,1.18
2,1,3,2027,1.18
25,1,1,2027,1.73
25,1,2,2027,1.73
25,1,3,2027,1.73
4,1,1,2027,7.26
4,1,2,2027,7.26
4,1,3,2027,7.26
12,1,1,2027,0
12,1,2,2027,0
12,1,3,2027,0
3,1,1,2027,4.15
3,1,2,2027,4.15
3,1,3,2027,4.15
18,1,1,2027,2.38
18,1,2,2027,2.38
18,1,3,2027,2.38
11,1,1,2027,6.59
11,1,2,2027,6.59
11,1,3,2027,6.59
5,1,1,2027,1.45
5,1,2,2027,1.45
5,1,3,2027,1.45
19,1,1,2027,1.44
19,1,2,2027,1.44
19,1,3,2027,1.44
9,1,1,2027,0
9,1,2,2027,0
9,1,3,2027,0
8,1,1,2027,0
8,1,2,2027,0
8,1,3,2027,0
14,1,1,2027,2.97
14,1,2,2027,2.97
14,1,3,2027,2.97
1,1,1,2027,2.83
1,1,2,2027,2.83
1,1,3,2027,2.83
15,1,1,2028,3.5
15,1,2,2028,3.5
15,1,3,2028,3.5
16,1,1,2028,3.57
16,1,2,2028,3.57
16,1,3,2028,3.57
20,1,1,2028,0.85
20,1,2,2028,0.85
20,1,3,2028,0.85
6,1,1,2028,2.39
6,1,2,2028,2.39
6,1,3,2028,2.39
17,1,1,2028,2.62
17,1,2,2028,2.62
17,1,3,2028,2.62
21,1,1,2028,0
21,1,2,2028,0
21,1,3,2028,0
23,1,1,2028,0.54
23,1,2,2028,0.54
23,1,3,2028,0.54
22,1,1,2028,0.02
22,1,2,2028,0.02
22,1,3,2028,0.02
24,1,1,2028,2.17
24,1,2,2028,2.17
24,1,3,2028,2.17
7,1,1,2028,0.15
7,1,2,2028,0.15
7,1,3,2028,0.15
10,1,1,2028,0.98
10,1,2,2028,0.98
10,1,3,2028,0.98
13,1,1,2028,0.31
13,1,2,2028,0.31
13,1,3,2028,0.31
2,1,1,2028,1.18
2,1,2,2028,1.18
2,1,3,2028,1.18
25,1,1,2028,1.73
25,1,2,2028,1.73
25,1,3,2028,1.73
4,1,1,2028,5.92
4,1,2,2028,5.92
4,1,3,2028,5.92
12,1,1,2028,0
12,1,2,2028,0
12,1,3,2028,0
3,1,1,2028,3.98
3,1,2,2028,3.98
3,1,3,2028,3.98
18,1,1,2028,2.38
18,1,2,2028,2.38
18,1,3,2028,2.38
11,1,1,2028,6.38
11,1,2,2028,6.38
11,1,3,2028,6.38
5,1,1,2028,0.51
5,1,2,2028,0.51
5,1,3,2028,0.51
19,1,1,2028,1.44
19,1,2,2028,1.44
19,1,3,2028,1.44
9,1,1,2028,0
9,1,2,2028,0
9,1,3,2028,0
8,1,1,2028,0
8,1,2,2028,0
8,1,3,2028,0
14,1,1,2028,2.97
14,1,2,2028,2.97
14,1,3,2028,2.97
1,1,1,2028,2.64
1,1,2,2028,2.64
1,1,3,2028,2.64
15,1,1,2029,3.5
15,1,2,2029,3.5
15,1,3,2029,3.5
16,1,1,2029,3.57
16,1,2,2029,3.57
16,1,3,2029,3.57
20,1,1,2029,0.85
20,1,2,2029,0.85
20,1,3,2029,0.85
6,1,1,2029,2.39
6,1,2,2029,2.39
6,1,3,2029,2.39
17,1,1,2029,2.62
17,1,2,2029,2.62
17,1,3,2029,2.62
21,1,1,2029,0
21,1,2,2029,0
21,1,3,2029,0
23,1,1,2029,0.54
23,1,2,2029,0.54
23,1,3,2029,0.54
22,1,1,2029,0.02
22,1,2,2029,0.02
22,1,3,2029,0.02
24,1,1,2029,1.86
24,1,2,2029,1.86
24,1,3,2029,1.86
7,1,1,2029,0.15
7,1,2,2029,0.15
7,1,3,2029,0.15
10,1,1,2029,0.98
10,1,2,2029,0.98
10,1,3,2029,0.98
13,1,1,2029,0.31
13,1,2,2029,0.31
13,1,3,2029,0.31
2,1,1,2029,1.18
2,1,2,2029,1.18
2,1,3,2029,1.18
25,1,1,2029,1.73
25,1,2,2029,1.73
25,1,3,2029,1.73
4,1,1,2029,5.92
4,1,2,2029,5.92
4,1,3,2029,5.92
12,1,1,2029,0
12,1,2,2029,0
12,1,3,2029,0
3,1,1,2029,3.98
3,1,2,2029,3.98
3,1,3,2029,3.98
18,1,1,2029,2.38
18,1,2,2029,2.38
18,1,3,2029,2.38
11,1,1,2029,6.38
11,1,2,2029,6.38
11,1,3,2029,6.38
5,1,1,2029,0.51
5,1,2,2029,0.51
5,1,3,2029,0.51
19,1,1,2029,1.44
19,1,2,2029,1.44
19,1,3,2029,1.44
9,1,1,2029,0
9,1,2,2029,0
9,1,3,2029,0
8,1,1,2029,0
8,1,2,2029,0
8,1,3,2029,0
14,1,1,2029,2.97
14,1,2,2029,2.97
14,1,3,2029,2.97
1,1,1,2029,2.08
1,1,2,2029,2.08
1,1,3,2029,2.08
15,1,1,2030,3.5
15,1,2,2030,3.5
15,1,3,2030,3.5
16,1,1,2030,3.57
16,1,2,2030,3.57
16,1,3,2030,3.57
20,1,1,2030,0.85
20,1,2,2030,0.85
20,1,3,2030,0.85
6,1,1,2030,2.39
6,1,2,2030,2.39
6,1,3,2030,2.39
17,1,1,2030,2.62
17,1,2,2030,2.62
17,1,3,2030,2.62
21,1,1,2030,0
21,1,2,2030,0
21,1,3,2030,0
23,1,1,2030,0.54
23,1,2,2030,0.54
23,1,3,2030,0.54
22,1,1,2030,0.02
22,1,2,2030,0.02
22,1,3,2030,0.02
24,1,1,2030,1.86
24,1,2,2030,1.86
24,1,3,2030,1.86
7,1,1,2030,0.15
7,1,2,2030,0.15
7,1,3,2030,0.15
10,1,1,2030,0.98
10,1,2,2030,0.98
10,1,3,2030,0.98
13,1,1,2030,0.31
13,1,2,2030,0.31
13,1,3,2030,0.31
2,1,1,2030,1.18
2,1,2,2030,1.18
2,1,3,2030,1.18
25,1,1,2030,1.73
25,1,2,2030,1.73
25,1,3,2030,1.73
4,1,1,2030,5.92
4,1,2,2030,5.92
4,1,3,2030,5.92
12,1,1,2030,0
12,1,2,2030,0
12,1,3,2030,0
3,1,1,2030,3.98
3,1,2,2030,3.98
3,1,3,2030,3.98
18,1,1,2030,2.38
18,1,2,2030,2.38
18,1,3,2030,2.38
11,1,1,2030,6.38
11,1,2,2030,6.38
11,1,3,2030,6.38
5,1,1,2030,0.51
5,1,2,2030,0.51
5,1,3,2030,0.51
19,1,1,2030,1.44
19,1,2,2030,1.44
19,1,3,2030,1.44
9,1,1,2030,0
9,1,2,2030,0
9,1,3,2030,0
8,1,1,2030,0
8,1,2,2030,0
8,1,3,2030,0
14,1,1,2030,2.6
14,1,2,2030,2.6
14,1,3,2030,2.6
1,1,1,2030,2.08
1,1,2,2030,2.08
1,1,3,2030,2.08
15,1,1,2031,3.5
15,1,2,2031,3.5
15,1,3,2031,3.5
16,1,1,2031,3.24
16,1,2,2031,3.24
16,1,3,2031,3.24
20,1,1,2031,0.85
20,1,2,2031,0.85
20,1,3,2031,0.85
6,1,1,2031,2.39
6,1,2,2031,2.39
6,1,3,2031,2.39
17,1,1,2031,2.62
17,1,2,2031,2.62
17,1,3,2031,2.62
21,1,1,2031,0
21,1,2,2031,0
21,1,3,2031,0
23,1,1,2031,0.54
23,1,2,2031,0.54
23,1,3,2031,0.54
22,1,1,2031,0.02
22,1,2,2031,0.02
22,1,3,2031,0.02
24,1,1,2031,1.34
24,1,2,2031,1.34
24,1,3,2031,1.34
7,1,1,2031,0.15
7,1,2,2031,0.15
7,1,3,2031,0.15
10,1,1,2031,0.98
10,1,2,2031,0.98
10,1,3,2031,0.98
13,1,1,2031,0.31
13,1,2,2031,0.31
13,1,3,2031,0.31
2,1,1,2031,1.18
2,1,2,2031,1.18
2,1,3,2031,1.18
25,1,1,2031,1.73
25,1,2,2031,1.73
25,1,3,2031,1.73
4,1,1,2031,5.92
4,1,2,2031,5.92
4,1,3,2031,5.92
12,1,1,2031,0
12,1,2,2031,0
12,1,3,2031,0
3,1,1,2031,3.98
3,1,2,2031,3.98
3,1,3,2031,3.98
18,1,1,2031,2.38
18,1,2,2031,2.38
18,1,3,2031,2.38
11,1,1,2031,6.38
11,1,2,2031,6.38
11,1,3,2031,6.38
5,1,1,2031,0.51
5,1,2,2031,0.51
5,1,3,2031,0.51
19,1,1,2031,1.44
19,1,2,2031,1.44
19,1,3,2031,1.44
9,1,1,2031,0
9,1,2,2031,0
9,1,3,2031,0
8,1,1,2031,0
8,1,2,2031,0
8,1,3,2031,0
14,1,1,2031,2.6
14,1,2,2031,2.6
14,1,3,2031,2.6
1,1,1,2031,2.08
1,1,2,2031,2.08
1,1,3,2031,2.08
15,1,1,2032,3.5
15,1,2,2032,3.5
15,1,3,2032,3.5
16,1,1,2032,3.24
16,1,2,2032,3.24
16,1,3,2032,3.24
20,1,1,2032,0.46
20,1,2,2032,0.46
20,1,3,2032,0.46
6,1,1,2032,2.39
6,1,2,2032,2.39
6,1,3,2032,2.39
17,1,1,2032,2.62
17,1,2,2032,2.62
17,1,3,2032,2.62
21,1,1,2032,0
21,1,2,2032,0
21,1,3,2032,0
23,1,1,2032,0.54
23,1,2,2032,0.54
23,1,3,2032,0.54
22,1,1,2032,0.02
22,1,2,2032,0.02
22,1,3,2032,0.02
24,1,1,2032,1.34
24,1,2,2032,1.34
24,1,3,2032,1.34
7,1,1,2032,0.15
7,1,2,2032,0.15
7,1,3,2032,0.15
10,1,1,2032,0.98
10,1,2,2032,0.98
10,1,3,2032,0.98
13,1,1,2032,0.31
13,1,2,2032,0.31
13,1,3,2032,0.31
2,1,1,2032,1.18
2,1,2,2032,1.18
2,1,3,2032,1.18
25,1,1,2032,1.73
25,1,2,2032,1.73
25,1,3,2032,1.73
4,1,1,2032,5.92
4,1,2,2032,5.92
4,1,3,2032,5.92
12,1,1,2032,0
12,1,2,2032,0
12,1,3,2032,0
3,1,1,2032,3.98
3,1,2,2032,3.98
3,1,3,2032,3.98
18,1,1,2032,2.38
18,1,2,2032,2.38
18,1,3,2032,2.38
11,1,1,2032,6.38
11,1,2,2032,6.38
11,1,3,2032,6.38
5,1,1,2032,0
5,1,2,2032,0
5,1,3,2032,0
19,1,1,2032,1.44
19,1,2,2032,1.44
19,1,3,2032,1.44
9,1,1,2032,0
9,1,2,2032,0
9,1,3,2032,0
8,1,1,2032,0
8,1,2,2032,0
8,1,3,2032,0
14,1,1,2032,2.6
14,1,2,2032,2.6
14,1,3,2032,2.6
