region,season,tech,step,year,SupplyPrice
1,1,1,1,2023,10.6
1,1,1,1,2024,10.6
1,1,1,1,2025,10.5
1,1,1,1,2026,10.5
1,1,1,1,2027,10.5
1,1,1,1,2028,10.4
1,1,1,1,2029,10.4
1,1,1,1,2030,10.4
1,1,1,1,2031,10.3
1,1,1,1,2032,10.3
1,1,1,1,2033,10.2
1,1,1,1,2034,10.2
1,1,1,1,2035,10.2
1,1,1,1,2036,10.1
1,1,1,1,2037,10.1
1,1,1,1,2038,10
1,1,1,1,2039,10
1,1,1,1,2040,10
1,1,1,1,2041,9.9
1,1,1,1,2042,9.9
1,1,1,1,2043,9.9
1,1,1,1,2044,9.8
1,1,1,1,2045,9.8
1,1,1,1,2046,9.7
1,1,1,1,2047,9.7
1,1,1,1,2048,9.7
1,1,1,1,2049,9.6
1,1,1,1,2050,9.6
1,1,1,2,2023,11.3
1,1,1,2,2024,11.2
1,1,1,2,2025,11.2
1,1,1,2,2026,11.2
1,1,1,2,2027,11.1
1,1,1,2,2028,11.1
1,1,1,2,2029,11
1,1,1,2,2030,11
1,1,1,2,2031,11
1,1,1,2,2032,10.9
1,1,1,2,2033,10.9
1,1,1,2,2034,10.9
1,1,1,2,2035,10.8
1,1,1,2,2036,10.8
1,1,1,2,2037,10.8
1,1,1,2,2038,10.7
1,1,1,2,2039,10.7
1,1,1,2,2040,10.6
1,1,1,2,2041,10.6
1,1,1,2,2042,10.6
1,1,1,2,2043,10.5
1,1,1,2,2044,10.5
1,1,1,2,2045,10.5
1,1,1,2,2046,10.4
1,1,1,2,2047,10.4
1,1,1,2,2048,10.4
1,1,1,2,2049,10.3
1,1,1,2,2050,10.3
1,1,1,3,2023,12.1
1,1,1,3,2024,12.1
1,1,1,3,2025,12
1,1,1,3,2026,12
1,1,1,3,2027,12
1,1,1,3,2028,11.9
1,1,1,3,2029,11.9
1,1,1,3,2030,11.8
1,1,1,3,2031,11.8
1,1,1,3,2032,11.7
1,1,1,3,2033,11.7
1,1,1,3,2034,11.7
1,1,1,3,2035,11.6
1,1,1,3,2036,11.6
1,1,1,3,2037,11.5
1,1,1,3,2038,11.5
1,1,1,3,2039,11.5
1,1,1,3,2040,11.4
1,1,1,3,2041,11.4
1,1,1,3,2042,11.3
1,1,1,3,2043,11.3
1,1,1,3,2044,11.3
1,1,1,3,2045,11.2
1,1,1,3,2046,11.2
1,1,1,3,2047,11.1
1,1,1,3,2048,11.1
1,1,1,3,2049,11
1,1,1,3,2050,11
1,1,2,1,2023,15.5
1,1,2,1,2024,15.9
1,1,2,1,2025,16.3
1,1,2,1,2026,16.7
1,1,2,1,2027,17.1
1,1,2,1,2028,17.5
1,1,2,1,2029,17.9
1,1,2,1,2030,18.3
1,1,2,1,2031,18.7
1,1,2,1,2032,19.1
1,1,2,1,2033,19.6
1,1,2,1,2034,20
1,1,2,1,2035,20.4
1,1,2,1,2036,20.8
1,1,2,1,2037,21.2
1,1,2,1,2038,21.6
1,1,2,1,2039,22
1,1,2,1,2040,22.4
1,1,2,1,2041,22.8
1,1,2,1,2042,23.2
1,1,2,1,2043,23.6
1,1,2,1,2044,24
1,1,2,1,2045,24.4
1,1,2,1,2046,24.8
1,1,2,1,2047,25.2
1,1,2,1,2048,25.6
1,1,2,1,2049,26
1,1,2,1,2050,26.5
1,1,2,2,2023,17.6
1,1,2,2,2024,18
1,1,2,2,2025,18.4
1,1,2,2,2026,18.8
1,1,2,2,2027,19.2
1,1,2,2,2028,19.7
1,1,2,2,2029,20.1
1,1,2,2,2030,20.5
1,1,2,2,2031,20.9
1,1,2,2,2032,21.3
1,1,2,2,2033,21.7
1,1,2,2,2034,22.1
1,1,2,2,2035,22.5
1,1,2,2,2036,22.9
1,1,2,2,2037,23.3
1,1,2,2,2038,23.7
1,1,2,2,2039,24.2
1,1,2,2,2040,24.6
1,1,2,2,2041,25
1,1,2,2,2042,25.4
1,1,2,2,2043,25.8
1,1,2,2,2044,26.2
1,1,2,2,2045,26.6
1,1,2,2,2046,27
1,1,2,2,2047,27.4
1,1,2,2,2048,27.8
1,1,2,2,2049,28.2
1,1,2,2,2050,28.6
1,1,2,3,2023,19.8
1,1,2,3,2024,20.3
1,1,2,3,2025,20.7
