region,region1,year,TranCost
1,1,2023,1
1,1,2024,1
1,1,2025,1
1,1,2026,1
1,1,2027,1
1,1,2028,1
1,1,2029,1
1,1,2030,1
1,1,2031,1
1,1,2032,1
1,1,2033,1
1,1,2034,1
1,1,2035,1
1,1,2036,1
1,1,2037,1
1,1,2038,1
1,1,2039,1
1,1,2040,1
1,1,2041,1
1,1,2042,1
1,1,2043,1
1,1,2044,1
1,1,2045,1
1,1,2046,1
1,1,2047,1
1,1,2048,1
1,1,2049,1
1,1,2050,1
1,2,2023,1
1,2,2024,1
1,2,2025,1
1,2,2026,1
1,2,2027,1
1,2,2028,1
1,2,2029,1
1,2,2030,1
1,2,2031,1
1,2,2032,1
1,2,2033,1
1,2,2034,1
1,2,2035,1
1,2,2036,1
1,2,2037,1
1,2,2038,1
1,2,2039,1
1,2,2040,1
1,2,2041,1
1,2,2042,1
1,2,2043,1
1,2,2044,1
1,2,2045,1
1,2,2046,1
1,2,2047,1
1,2,2048,1
1,2,2049,1
1,2,2050,1
1,3,2023,1
1,3,2024,1
1,3,2025,1
1,3,2026,1
1,3,2027,1
1,3,2028,1
1,3,2029,1
1,3,2030,1
1,3,2031,1
1,3,2032,1
1,3,2033,1
1,3,2034,1
1,3,2035,1
1,3,2036,1
1,3,2037,1
1,3,2038,1
1,3,2039,1
1,3,2040,1
1,3,2041,1
1,3,2042,1
1,3,2043,1
1,3,2044,1
1,3,2045,1
1,3,2046,1
1,3,2047,1
1,3,2048,1
1,3,2049,1
1,3,2050,1
1,4,2023,1
1,4,2024,1
1,4,2025,1
1,4,2026,1
1,4,2027,1
1,4,2028,1
1,4,2029,1
1,4,2030,1
1,4,2031,1
1,4,2032,1
1,4,2033,1
1,4,2034,1
1,4,2035,1
1,4,2036,1
1,4,2037,1
1,4,2038,1
1,4,2039,1
1,4,2040,1
1,4,2041,1
1,4,2042,1
1,4,2043,1
1,4,2044,1
1,4,2045,1
1,4,2046,1
1,4,2047,1
1,4,2048,1
1,4,2049,1
1,4,2050,1
1,5,2023,1
1,5,2024,1
1,5,2025,1
1,5,2026,1
1,5,2027,1
1,5,2028,1
1,5,2029,1
1,5,2030,1
1,5,2031,1
1,5,2032,1
1,5,2033,1
1,5,2034,1
1,5,2035,1
1,5,2036,1
1,5,2037,1
