region,region1,season,year,TranLimit
1.0,17.0,1.0,2023,0.82
1.0,17.0,1.0,2024,0.82
1.0,17.0,1.0,2025,0.82
1.0,17.0,1.0,2026,0.82
1.0,17.0,1.0,2027,0.82
1.0,17.0,1.0,2028,0.82
1.0,17.0,1.0,2029,0.82
1.0,17.0,1.0,2030,0.82
1.0,17.0,1.0,2031,0.82
1.0,17.0,1.0,2032,0.82
1.0,17.0,1.0,2033,0.82
1.0,17.0,1.0,2034,0.82
1.0,17.0,1.0,2035,0.82
1.0,17.0,1.0,2036,0.82
1.0,17.0,1.0,2037,0.82
1.0,17.0,1.0,2038,0.82
1.0,17.0,1.0,2039,0.82
1.0,17.0,1.0,2040,0.82
1.0,17.0,1.0,2041,0.82
1.0,17.0,1.0,2042,0.82
1.0,17.0,1.0,2043,0.82
1.0,17.0,1.0,2044,0.82
1.0,17.0,1.0,2045,0.82
1.0,17.0,1.0,2046,0.82
1.0,17.0,1.0,2047,0.82
1.0,17.0,1.0,2048,0.82
1.0,17.0,1.0,2049,0.82
1.0,17.0,1.0,2050,0.82
1.0,17.0,2.0,2023,0.82
1.0,17.0,2.0,2024,0.82
1.0,17.0,2.0,2025,0.82
1.0,17.0,2.0,2026,0.82
1.0,17.0,2.0,2027,0.82
1.0,17.0,2.0,2028,0.82
1.0,17.0,2.0,2029,0.82
1.0,17.0,2.0,2030,0.82
1.0,17.0,2.0,2031,0.82
1.0,17.0,2.0,2032,0.82
1.0,17.0,2.0,2033,0.82
1.0,17.0,2.0,2034,0.82
1.0,17.0,2.0,2035,0.82
1.0,17.0,2.0,2036,0.82
1.0,17.0,2.0,2037,0.82
1.0,17.0,2.0,2038,0.82
1.0,17.0,2.0,2039,0.82
1.0,17.0,2.0,2040,0.82
1.0,17.0,2.0,2041,0.82
1.0,17.0,2.0,2042,0.82
1.0,17.0,2.0,2043,0.82
1.0,17.0,2.0,2044,0.82
1.0,17.0,2.0,2045,0.82
1.0,17.0,2.0,2046,0.82
1.0,17.0,2.0,2047,0.82
1.0,17.0,2.0,2048,0.82
1.0,17.0,2.0,2049,0.82
1.0,17.0,2.0,2050,0.82
1.0,17.0,3.0,2023,0.82
1.0,17.0,3.0,2024,0.82
1.0,17.0,3.0,2025,0.82
1.0,17.0,3.0,2026,0.82
1.0,17.0,3.0,2027,0.82
1.0,17.0,3.0,2028,0.82
1.0,17.0,3.0,2029,0.82
1.0,17.0,3.0,2030,0.82
1.0,17.0,3.0,2031,0.82
1.0,17.0,3.0,2032,0.82
1.0,17.0,3.0,2033,0.82
1.0,17.0,3.0,2034,0.82
1.0,17.0,3.0,2035,0.82
1.0,17.0,3.0,2036,0.82
1.0,17.0,3.0,2037,0.82
1.0,17.0,3.0,2038,0.82
1.0,17.0,3.0,2039,0.82
1.0,17.0,3.0,2040,0.82
1.0,17.0,3.0,2041,0.82
1.0,17.0,3.0,2042,0.82
1.0,17.0,3.0,2043,0.82
1.0,17.0,3.0,2044,0.82
1.0,17.0,3.0,2045,0.82
1.0,17.0,3.0,2046,0.82
1.0,17.0,3.0,2047,0.82
1.0,17.0,3.0,2048,0.82
1.0,17.0,3.0,2049,0.82
1.0,17.0,3.0,2050,0.82
2.0,15.0,1.0,2023,3.6
2.0,15.0,1.0,2024,3.6
2.0,15.0,1.0,2025,3.6
2.0,15.0,1.0,2026,3.6
2.0,15.0,1.0,2027,3.6
2.0,15.0,1.0,2028,3.6
2.0,15.0,1.0,2029,3.6
2.0,15.0,1.0,2030,3.6
2.0,15.0,1.0,2031,3.6
2.0,15.0,1.0,2032,3.6
2.0,15.0,1.0,2033,3.6
2.0,15.0,1.0,2034,3.6
2.0,15.0,1.0,2035,3.6
2.0,15.0,1.0,2036,3.6
2.0,15.0,1.0,2037,3.6
2.0,15.0,1.0,2038,3.6
2.0,15.0,1.0,2039,3.6
2.0,15.0,1.0,2040,3.6
2.0,15.0,1.0,2041,3.6
2.0,15.0,1.0,2042,3.6
2.0,15.0,1.0,2043,3.6
2.0,15.0,1.0,2044,3.6
2.0,15.0,1.0,2045,3.6
2.0,15.0,1.0,2046,3.6
2.0,15.0,1.0,2047,3.6
2.0,15.0,1.0,2048,3.6
2.0,15.0,1.0,2049,3.6
2.0,15.0,1.0,2050,3.6
2.0,15.0,2.0,2023,3.6
2.0,15.0,2.0,2024,3.6
2.0,15.0,2.0,2025,3.6
2.0,15.0,2.0,2026,3.6
2.0,15.0,2.0,2027,3.6
2.0,15.0,2.0,2028,3.6
2.0,15.0,2.0,2029,3.6
2.0,15.0,2.0,2030,3.6
2.0,15.0,2.0,2031,3.6
2.0,15.0,2.0,2032,3.6
2.0,15.0,2.0,2033,3.6
2.0,15.0,2.0,2034,3.6
2.0,15.0,2.0,2035,3.6
2.0,15.0,2.0,2036,3.6
2.0,15.0,2.0,2037,3.6
2.0,15.0,2.0,2038,3.6
2.0,15.0,2.0,2039,3.6
2.0,15.0,2.0,2040,3.6
2.0,15.0,2.0,2041,3.6
2.0,15.0,2.0,2042,3.6
2.0,15.0,2.0,2043,3.6
2.0,15.0,2.0,2044,3.6
2.0,15.0,2.0,2045,3.6
2.0,15.0,2.0,2046,3.6
2.0,15.0,2.0,2047,3.6
2.0,15.0,2.0,2048,3.6
2.0,15.0,2.0,2049,3.6
2.0,15.0,2.0,2050,3.6
2.0,15.0,3.0,2023,3.6
2.0,15.0,3.0,2024,3.6
2.0,15.0,3.0,2025,3.6
2.0,15.0,3.0,2026,3.6
2.0,15.0,3.0,2027,3.6
2.0,15.0,3.0,2028,3.6
2.0,15.0,3.0,2029,3.6
2.0,15.0,3.0,2030,3.6
2.0,15.0,3.0,2031,3.6
2.0,15.0,3.0,2032,3.6
2.0,15.0,3.0,2033,3.6
2.0,15.0,3.0,2034,3.6
2.0,15.0,3.0,2035,3.6
2.0,15.0,3.0,2036,3.6
2.0,15.0,3.0,2037,3.6
2.0,15.0,3.0,2038,3.6
2.0,15.0,3.0,2039,3.6
2.0,15.0,3.0,2040,3.6
2.0,15.0,3.0,2041,3.6
2.0,15.0,3.0,2042,3.6
2.0,15.0,3.0,2043,3.6
2.0,15.0,3.0,2044,3.6
2.0,15.0,3.0,2045,3.6
2.0,15.0,3.0,2046,3.6
2.0,15.0,3.0,2047,3.6
2.0,15.0,3.0,2048,3.6
2.0,15.0,3.0,2049,3.6
2.0,15.0,3.0,2050,3.6
3.0,4.0,1.0,2023,0.888
3.0,4.0,1.0,2024,0.888
3.0,4.0,1.0,2025,0.888
3.0,4.0,1.0,2026,0.888
3.0,4.0,1.0,2027,0.888
3.0,4.0,1.0,2028,0.888
3.0,4.0,1.0,2029,0.888
3.0,4.0,1.0,2030,0.888
3.0,4.0,1.0,2031,0.888
3.0,4.0,1.0,2032,0.888
3.0,4.0,1.0,2033,0.888
3.0,4.0,1.0,2034,0.888
3.0,4.0,1.0,2035,0.888
3.0,4.0,1.0,2036,0.888
3.0,4.0,1.0,2037,0.888
3.0,4.0,1.0,2038,0.888
3.0,4.0,1.0,2039,0.888
3.0,4.0,1.0,2040,0.888
3.0,4.0,1.0,2041,0.888
3.0,4.0,1.0,2042,0.888
3.0,4.0,1.0,2043,0.888
3.0,4.0,1.0,2044,0.888
3.0,4.0,1.0,2045,0.888
3.0,4.0,1.0,2046,0.888
3.0,4.0,1.0,2047,0.888
3.0,4.0,1.0,2048,0.888
3.0,4.0,1.0,2049,0.888
3.0,4.0,1.0,2050,0.888
3.0,4.0,2.0,2023,0.888
3.0,4.0,2.0,2024,0.888
3.0,4.0,2.0,2025,0.888
3.0,4.0,2.0,2026,0.888
3.0,4.0,2.0,2027,0.888
3.0,4.0,2.0,2028,0.888
3.0,4.0,2.0,2029,0.888
3.0,4.0,2.0,2030,0.888
3.0,4.0,2.0,2031,0.888
3.0,4.0,2.0,2032,0.888
3.0,4.0,2.0,2033,0.888
3.0,4.0,2.0,2034,0.888
3.0,4.0,2.0,2035,0.888
3.0,4.0,2.0,2036,0.888
3.0,4.0,2.0,2037,0.888
3.0,4.0,2.0,2038,0.888
3.0,4.0,2.0,2039,0.888
3.0,4.0,2.0,2040,0.888
3.0,4.0,2.0,2041,0.888
3.0,4.0,2.0,2042,0.888
3.0,4.0,2.0,2043,0.888
3.0,4.0,2.0,2044,0.888
3.0,4.0,2.0,2045,0.888
3.0,4.0,2.0,2046,0.888
3.0,4.0,2.0,2047,0.888
3.0,4.0,2.0,2048,0.888
3.0,4.0,2.0,2049,0.888
3.0,4.0,2.0,2050,0.888
3.0,4.0,3.0,2023,0.888
3.0,4.0,3.0,2024,0.888
3.0,4.0,3.0,2025,0.888
3.0,4.0,3.0,2026,0.888
3.0,4.0,3.0,2027,0.888
3.0,4.0,3.0,2028,0.888
3.0,4.0,3.0,2029,0.888
3.0,4.0,3.0,2030,0.888
3.0,4.0,3.0,2031,0.888
3.0,4.0,3.0,2032,0.888
3.0,4.0,3.0,2033,0.888
3.0,4.0,3.0,2034,0.888
3.0,4.0,3.0,2035,0.888
3.0,4.0,3.0,2036,0.888
3.0,4.0,3.0,2037,0.888
3.0,4.0,3.0,2038,0.888
3.0,4.0,3.0,2039,0.888
3.0,4.0,3.0,2040,0.888
3.0,4.0,3.0,2041,0.888
3.0,4.0,3.0,2042,0.888
3.0,4.0,3.0,2043,0.888
3.0,4.0,3.0,2044,0.888
3.0,4.0,3.0,2045,0.888
3.0,4.0,3.0,2046,0.888
3.0,4.0,3.0,2047,0.888
3.0,4.0,3.0,2048,0.888
3.0,4.0,3.0,2049,0.888
3.0,4.0,3.0,2050,0.888
3.0,12.0,1.0,2023,1.996
3.0,12.0,1.0,2024,1.996
3.0,12.0,1.0,2025,1.996
3.0,12.0,1.0,2026,1.996
3.0,12.0,1.0,2027,1.996
3.0,12.0,1.0,2028,1.996
3.0,12.0,1.0,2029,1.996
3.0,12.0,1.0,2030,1.996
3.0,12.0,1.0,2031,1.996
3.0,12.0,1.0,2032,1.996
3.0,12.0,1.0,2033,1.996
3.0,12.0,1.0,2034,1.996
3.0,12.0,1.0,2035,1.996
3.0,12.0,1.0,2036,1.996
3.0,12.0,1.0,2037,1.996
3.0,12.0,1.0,2038,1.996
3.0,12.0,1.0,2039,1.996
3.0,12.0,1.0,2040,1.996
3.0,12.0,1.0,2041,1.996
3.0,12.0,1.0,2042,1.996
3.0,12.0,1.0,2043,1.996
3.0,12.0,1.0,2044,1.996
3.0,12.0,1.0,2045,1.996
3.0,12.0,1.0,2046,1.996
3.0,12.0,1.0,2047,1.996
3.0,12.0,1.0,2048,1.996
3.0,12.0,1.0,2049,1.996
3.0,12.0,1.0,2050,1.996
3.0,12.0,2.0,2023,1.996
3.0,12.0,2.0,2024,1.996
3.0,12.0,2.0,2025,1.996
3.0,12.0,2.0,2026,1.996
3.0,12.0,2.0,2027,1.996
3.0,12.0,2.0,2028,1.996
3.0,12.0,2.0,2029,1.996
3.0,12.0,2.0,2030,1.996
3.0,12.0,2.0,2031,1.996
3.0,12.0,2.0,2032,1.996
3.0,12.0,2.0,2033,1.996
3.0,12.0,2.0,2034,1.996
3.0,12.0,2.0,2035,1.996
3.0,12.0,2.0,2036,1.996
3.0,12.0,2.0,2037,1.996
3.0,12.0,2.0,2038,1.996
3.0,12.0,2.0,2039,1.996
3.0,12.0,2.0,2040,1.996
3.0,12.0,2.0,2041,1.996
3.0,12.0,2.0,2042,1.996
3.0,12.0,2.0,2043,1.996
3.0,12.0,2.0,2044,1.996
3.0,12.0,2.0,2045,1.996
3.0,12.0,2.0,2046,1.996
