region_id,state_or_province,scenario_name,year,load_gwh
FRCC_SYS,FL,frcc_2025_rlrp,2025,277653.0
FRCC_SYS,FL,frcc_2025_rlrp,2026,279981.0
FRCC_SYS,FL,frcc_2025_rlrp,2027,282638.0
FRCC_SYS,FL,frcc_2025_rlrp,2028,286769.0
FRCC_SYS,FL,frcc_2025_rlrp,2029,292107.0
FRCC_SYS,FL,frcc_2025_rlrp,2030,296546.0
FRCC_SYS,FL,frcc_2025_rlrp,2031,300960.0
FRCC_SYS,FL,frcc_2025_rlrp,2032,305984.0
FRCC_SYS,FL,frcc_2025_rlrp,2033,310923.0
FRCC_SYS,FL,frcc_2025_rlrp,2034,315682.0
FRCC_SYS,FL,frcc_2025_rlrp,2035,319502.0
FRCC_SYS,FL,frcc_2025_rlrp,2036,323368.0
FRCC_SYS,FL,frcc_2025_rlrp,2037,327281.0
FRCC_SYS,FL,frcc_2025_rlrp,2038,331241.0
FRCC_SYS,FL,frcc_2025_rlrp,2039,335249.0
FRCC_SYS,,frcc_2025_rlrp,2040,339305.55403052684
FRCC_SYS,,frcc_2025_rlrp,2041,343411.1928625075
FRCC_SYS,,frcc_2025_rlrp,2042,347566.51042806153
FRCC_SYS,,frcc_2025_rlrp,2043,351772.1078459602
FRCC_SYS,,frcc_2025_rlrp,2044,356028.5935085854
FRCC_SYS,,frcc_2025_rlrp,2045,360336.58316994173
FRCC_SYS,,frcc_2025_rlrp,2046,364696.70003473264
FRCC_SYS,,frcc_2025_rlrp,2047,369109.57484851504
FRCC_SYS,,frcc_2025_rlrp,2048,373575.84598894435
FRCC_SYS,,frcc_2025_rlrp,2049,378096.159558124
FRCC_SYS,,frcc_2025_rlrp,2050,382671.16947607225
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2025,185500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2026,188000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2027,190500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2028,193000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2029,195500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2030,198000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2031,200500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2032,203000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2033,205500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2034,208000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2035,210500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2036,213000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2037,215500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2038,218000.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2039,220500.0
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2040,230975.0593824228
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2041,241947.7462889512
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2042,253441.700982013
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2043,265481.68677688297
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2044,278093.64339336194
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2045,291304.7428419777
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2046,305143.447965112
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2047,319639.57375917904
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2048,334824.3516099714
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2049,350730.4965795662
QUEBEC,QC,hydroquebec_2023_supplyplan_linear,2050,367392.27788975934
ONTARIO,ON,ieso_2025_apo_interp,2025,152292.0
ONTARIO,ON,ieso_2025_apo_interp,2026,156700.0
ONTARIO,ON,ieso_2025_apo_interp,2027,161108.0
ONTARIO,ON,ieso_2025_apo_interp,2028,165517.0
ONTARIO,ON,ieso_2025_apo_interp,2029,169925.0
ONTARIO,ON,ieso_2025_apo_interp,2030,174333.0
ONTARIO,ON,ieso_2025_apo_interp,2031,178742.0
ONTARIO,ON,ieso_2025_apo_interp,2032,183150.0
ONTARIO,ON,ieso_2025_apo_interp,2033,187558.0
ONTARIO,ON,ieso_2025_apo_interp,2034,191967.0
ONTARIO,ON,ieso_2025_apo_interp,2035,196375.0
ONTARIO,ON,ieso_2025_apo_interp,2036,200783.0
ONTARIO,ON,ieso_2025_apo_interp,2037,205192.0
ONTARIO,ON,ieso_2025_apo_interp,2038,209600.0
ONTARIO,ON,ieso_2025_apo_interp,2039,214008.0
ONTARIO,ON,ieso_2025_apo_interp,2040,233224.31095607893
ONTARIO,ON,ieso_2025_apo_interp,2041,254166.10229962337
ONTARIO,ON,ieso_2025_apo_interp,2042,276988.309209104
ONTARIO,ON,ieso_2025_apo_interp,2043,301859.77887827845
ONTARIO,ON,ieso_2025_apo_interp,2044,328964.51971066894
ONTARIO,ON,ieso_2025_apo_interp,2045,358503.06268232124
ONTARIO,ON,ieso_2025_apo_interp,2046,390693.94494471396
ONTARIO,ON,ieso_2025_apo_interp,2047,425775.3266440654
ONTARIO,ON,ieso_2025_apo_interp,2048,464006.75291887025
ONTARIO,ON,ieso_2025_apo_interp,2049,505671.0741115803
ONTARIO,ON,ieso_2025_apo_interp,2050,551076.5384008712
ISO-NE_CT,CT,isone_2025_celt_forecast,2025,56604.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2026,56798.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2027,57048.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2028,57558.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2029,58124.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2030,58837.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2031,59733.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2032,60798.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2033,61997.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2034,63356.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2035,64843.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2036,66452.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2037,68143.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2038,69805.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2039,71544.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2040,73368.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2041,75174.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2042,76991.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2043,78807.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2044,80567.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2045,82242.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2046,84142.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2047,86085.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2048,88074.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2049,90108.0
ISO-NE_CT,CT,isone_2025_celt_forecast,2050,92189.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2025,20756.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2026,20923.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2027,21205.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2028,21629.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2029,22127.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2030,22678.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2031,23296.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2032,24033.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2033,24805.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2034,25710.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2035,26701.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2036,27728.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2037,28802.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2038,29830.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2039,30823.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2040,31778.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2041,32638.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2042,33465.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2043,34250.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2044,34962.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2045,35612.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2046,36433.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2047,37272.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2048,38131.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2049,39010.0
ISO-NE_ME,ME,isone_2025_celt_forecast,2050,39909.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2025,46430.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2026,46676.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2027,46999.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2028,47536.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2029,48122.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2030,48799.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2031,49581.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2032,50463.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2033,51472.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2034,52594.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2035,53799.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2036,55054.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2037,56322.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2038,57657.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2039,59017.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2040,60343.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2041,61675.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2042,62979.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2043,64202.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2044,65357.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2045,66435.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2046,67725.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2047,69041.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2048,70382.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2049,71749.0
ISO-NE_NEMA,MA,isone_2025_celt_forecast,2050,73142.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2025,22686.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2026,22794.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2027,22927.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2028,23160.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2029,23438.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2030,23764.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2031,24171.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2032,24623.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2033,25136.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2034,25709.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2035,26339.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2036,27053.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2037,27799.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2038,28606.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2039,29466.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2040,30368.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2041,31285.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2042,32212.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2043,33141.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2044,34039.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2045,34902.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2046,35887.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2047,36900.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2048,37941.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2049,39012.0
ISO-NE_NH,NH,isone_2025_celt_forecast,2050,40113.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2025,15496.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2026,15564.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2027,15651.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2028,15818.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2029,16016.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2030,16240.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2031,16504.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2032,16810.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2033,17188.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2034,17601.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2035,18053.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2036,18537.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2037,19043.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2038,19600.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2039,20169.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2040,20749.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2041,21323.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2042,21922.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2043,22517.0
ISO-NE_RI,RI,isone_2025_celt_forecast,2044,23089.0
