
Year,Region_ID,Scenario,Peak_Demand_MW
2025,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2233.0
2026,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2241.0
2027,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2307.0
2028,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2412.0
2029,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2559.0
2030,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2725.0
2031,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,2916.0
2032,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,3131.0
2033,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,3368.0
2034,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,3622.0
2035,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,3885.0
2036,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,4150.0
2037,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,4413.0
2038,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,4674.0
2039,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,4930.0
2040,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5162.0
2041,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5361.0
2042,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5530.0
2043,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5672.0
2044,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5791.0
2045,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,5890.0
2046,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,6047.484357767575
2047,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,6209.179466458998
2048,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,6375.1979113722255
2049,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,6545.655288063845
2050,CANADA_MARITIMES,Maine per-capita proxy for Canadian demand,6720.670282836114
2025,DUK_SYS,Estimated from adjacent per capita demand,47513.897239769176
2026,DUK_SYS,Estimated from adjacent per capita demand,48358.27455428822
2027,DUK_SYS,Estimated from adjacent per capita demand,49441.784772799074
2028,DUK_SYS,Estimated from adjacent per capita demand,49979.09037024126
2029,DUK_SYS,Estimated from adjacent per capita demand,50662.976019498805
2030,DUK_SYS,Estimated from adjacent per capita demand,51483.47631027008
2031,DUK_SYS,Estimated from adjacent per capita demand,52379.016882625125
2032,DUK_SYS,Estimated from adjacent per capita demand,53323.09464873417
2033,DUK_SYS,Estimated from adjacent per capita demand,54227.620132133445
2034,DUK_SYS,Estimated from adjacent per capita demand,55161.47898251785
2035,DUK_SYS,Estimated from adjacent per capita demand,56110.29219313954
2036,DUK_SYS,Estimated from adjacent per capita demand,57076.19388740531
2037,DUK_SYS,Estimated from adjacent per capita demand,58059.503470369
2038,DUK_SYS,Estimated from adjacent per capita demand,59060.54648544445
2039,DUK_SYS,Estimated from adjacent per capita demand,60079.65473471817
2040,DUK_SYS,Estimated from adjacent per capita demand,61117.16640165244
2041,DUK_SYS,Estimated from adjacent per capita demand,62173.426176225796
2042,DUK_SYS,Estimated from adjacent per capita demand,63248.78538256049
2043,DUK_SYS,Estimated from adjacent per capita demand,64343.60210908643
2044,DUK_SYS,Estimated from adjacent per capita demand,65458.24134129248
2045,DUK_SYS,Estimated from adjacent per capita demand,66593.0750971171
2046,DUK_SYS,Estimated from adjacent per capita demand,67748.48256503114
2047,DUK_SYS,Estimated from adjacent per capita demand,68924.85024486689
2048,DUK_SYS,Estimated from adjacent per capita demand,70122.57209144827
2049,DUK_SYS,Estimated from adjacent per capita demand,71342.04966107874
2050,DUK_SYS,Estimated from adjacent per capita demand,72583.69226094366
2025,ENTERGY_SYS,Estimated from adjacent per capita demand,21235.91937289193
2026,ENTERGY_SYS,Estimated from adjacent per capita demand,21613.306403068378
2027,ENTERGY_SYS,Estimated from adjacent per capita demand,22097.571785970755
2028,ENTERGY_SYS,Estimated from adjacent per capita demand,22337.715807167475
2029,ENTERGY_SYS,Estimated from adjacent per capita demand,22643.37249608575
2030,ENTERGY_SYS,Estimated from adjacent per capita demand,23010.087900051167
2031,ENTERGY_SYS,Estimated from adjacent per capita demand,23410.34189929094
2032,ENTERGY_SYS,Estimated from adjacent per capita demand,23832.289171299835
2033,ENTERGY_SYS,Estimated from adjacent per capita demand,24236.558897676136
2034,ENTERGY_SYS,Estimated from adjacent per capita demand,24653.938914986647
2035,ENTERGY_SYS,Estimated from adjacent per capita demand,25078.002652360567
2036,ENTERGY_SYS,Estimated from adjacent per capita demand,25509.703937524755
2037,ENTERGY_SYS,Estimated from adjacent per capita demand,25949.18552576482
2038,ENTERGY_SYS,Estimated from adjacent per capita demand,26396.592915852492
2039,ENTERGY_SYS,Estimated from adjacent per capita demand,26852.074403818326
2040,ENTERGY_SYS,Estimated from adjacent per capita demand,27315.781137792772
2041,ENTERGY_SYS,Estimated from adjacent per capita demand,27787.86717393662
2042,ENTERGY_SYS,Estimated from adjacent per capita demand,28268.48953348297
2043,ENTERGY_SYS,Estimated from adjacent per capita demand,28757.808260912858
2044,ENTERGY_SYS,Estimated from adjacent per capita demand,29255.986483287295
2045,ENTERGY_SYS,Estimated from adjacent per capita demand,29763.190470758913
2046,ENTERGY_SYS,Estimated from adjacent per capita demand,30279.589698286876
2047,ENTERGY_SYS,Estimated from adjacent per capita demand,30805.356908579164
2048,ENTERGY_SYS,Estimated from adjacent per capita demand,31340.66817628685
2049,ENTERGY_SYS,Estimated from adjacent per capita demand,31885.70297347556
2050,ENTERGY_SYS,Estimated from adjacent per capita demand,32440.644236399577
2025,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8065.053000000001
2026,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8158.213000000001
2027,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8232.193000000001
2028,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8304.392
2029,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8415.088000000002
2030,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8504.275000000001
2031,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8617.985
2032,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8745.806
2033,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8853.351
2034,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS,8967.335000000001
2035,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9082.059458931686
2036,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9198.251656213411
2037,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9315.930369496296
2038,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9435.114616665129
2039,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9555.823658911831
2040,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9678.07700384823
2041,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9801.894408658654
2042,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),9927.295883292853
2043,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),10054.301693699794
2044,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),10182.932365102795
2045,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),10313.208685316587
2046,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),10445.151708106803
2047,FMPA_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FMPA_SYS (extrapolated),10578.78275659244
