interface_id,from_region,to_region,capacity_mw,reverse_capacity_mw,efficiency,contracted_flow_mw_forward,contracted_flow_mw_reverse,added_cost_per_mwh,interface_type,notes,in_service_year,profile_id
CANADA_MARITIMES__ISO-NE_ME_1,ISO-NE_CT,NYISO_K,330,330,0.98,330,0,,HVDC,"Cross-Sound Cable (CSC) connecting New Haven, CT to Shoreham, Long Island",2020,
CANADA_MARITIMES__ISO-NE_ME_2,NYISO_K,ISO-NE_CT,436,436,0.97,0,0,,AC,"Northport–Norwalk Cable (NNC) connecting Long Island to Norwalk, CT",2020,
CANADA_MARITIMES__ISO-NE_ME_3,PJM_JCPL,NYISO_K,660,0,0.98,660,0,10.0,HVDC,"Neptune Regional Transmission System HVDC cable from Sayreville, NJ to Long Island",2020,
CANADA_MARITIMES__MISO_LRZ1_1,PJM_PSEG,NYISO_J,660,0,0.98,660,0,10.0,HVDC,"Hudson Transmission Project HVDC back-to-back converter, Ridgefield NJ to Manhattan",2020,
CANADA_MARITIMES__MISO_LRZ1_2,PJM_PSEG,NYISO_J,300,0,0.97,0,0,6.0,AC/DC,"Linden Variable Frequency Transformer (VFT) controllable tie from Linden, NJ to Staten Island",2020,
DUK_SYS__PJM_AEP_1,NYISO_K,NYISO_H,637,637,0.97,0,0,,AC,Y-49 cable (East Garden City–Sprain Brook) connecting Long Island to Westchester County,2020,
DUK_SYS__PJM_AEP_2,NYISO_K,NYISO_I,656,656,0.97,0,0,,AC,Y-50 cable (Dunwoodie–Shore Road) connecting Long Island to Westchester (Dunwoodie),2020,
DUK_SYS__PJM_DOM_1,NYISO_K,NYISO_J,240,240,0.97,0,0,,AC,138‑kV cable from Jamaica to Lake Success (provides 240 MW),2020,
DUK_SYS__PJM_DOM_2,NYISO_K,NYISO_J,268,268,0.97,0,0,,AC,138‑kV cable from Jamaica to Valley Stream (provides 268 MW),2020,
ERCOT__MISO_SOUTH,CANADA_MARITIMES,ISO-NE_ME,1000,0,0.97,0,0,0.67,AC,"New Brunswick–New England interface import capability (approx. 1,000 MW)",2020,
FRCC_SYS__SOCO_SYS,QUEBEC,ISO-NE_VT,200,0,0.97,0,0,0.67,AC,Highgate HVDC line from Quebec to Vermont (200 MW capacity import),2020,
ISO-NE_CT__NYISO_K,QUEBEC,ISO-NE_NEMA,1400,0,0.98,0,0,0.0,HVDC,"HQ‑New England Phase II HVDC link (Radisson to Sandy Pond) limited to 1,400 MW for capacity import",2020,
ISO-NE_ME__ISO-NE_SEMA,QUEBEC,NYISO_D,1000,0,0.97,0,0,0.0,HVDC,"Quebec‑New York HVDC ties (Chateauguay–Moses) delivering 1,000 MW into New York",2020,
MISO_LRZ1__MISO_LRZ2,CANADA_MARITIMES,ISO-NE_ME,1127,0,0.97,0,0,0.67,AC,"Maritimes–New England interface (E36) providing 1,127 MW import to New England",2020,
MISO_LRZ1__MISO_LRZ4,NYISO_G,ISO-NE_NEMA,1303,1660,0.97,0,0,0.67,AC,"New York–New England AC ties (E35) aggregated; approximate 1,303 MW NY→NE and 1,660 MW NE→NY",2020,
MISO_LRZ1__MISO_LRZ6_1,PJM_PSEG,NYISO_J,1356,913,0.97,0,0,0.67,AC,PJM East–New York interface (E33) approximate capacity; aggregated across multiple circuits,2020,
MISO_LRZ1__MISO_LRZ6_2,SOCO_SYS,FRCC_SYS,2958,900,0.97,0,0,0.67,AC,"SE‑SERC/FRCC interface (Florida–Georgia) capacity: ~2,958 MW into Florida, ~900 MW out",2020,
MISO_LRZ1__PJM_AEP_1,MISO_LRZ6,PJM_AEP,5603,4345,0.97,0,0,0.67,AC,MISO East–PJM West interface (E22),2020,
MISO_LRZ1__PJM_AEP_2,SOCO_SYS,PJM_AEP,6646,5444,0.97,0,0,0.67,AC,SERC Central–PJM West interface (E23),2020,
MISO_LRZ1__SOCO_SYS_1,SOCO_SYS,DUK_SYS,2419,3257,0.97,0,0,0.67,AC,SERC Central–SERC East interface (E24),2020,
