
year,region_id,scenario_id,fuel,price_per_mmbtu
2025,ISO-NE_CT,REF,GAS,3.04
2025,ISO-NE_CT,REF,COAL,2.2144
2025,ISO-NE_CT,REF,DISTILLATE,13.5966
2025,ISO-NE_CT,REF,RESIDUAL,9.1618
2025,ISO-NE_CT,REF,URANIUM,0.61
2025,ISO-NE_ME,REF,GAS,3.04
2025,ISO-NE_ME,REF,COAL,2.2144
2025,ISO-NE_ME,REF,DISTILLATE,13.5966
2025,ISO-NE_ME,REF,RESIDUAL,9.1618
2025,ISO-NE_ME,REF,URANIUM,0.61
2025,ISO-NE_NH,REF,GAS,3.04
2025,ISO-NE_NH,REF,COAL,2.2144
2025,ISO-NE_NH,REF,DISTILLATE,13.5966
2025,ISO-NE_NH,REF,RESIDUAL,9.1618
2025,ISO-NE_NH,REF,URANIUM,0.61
2025,ISO-NE_RI,REF,GAS,3.04
2025,ISO-NE_RI,REF,COAL,2.2144
2025,ISO-NE_RI,REF,DISTILLATE,13.5966
2025,ISO-NE_RI,REF,RESIDUAL,9.1618
2025,ISO-NE_RI,REF,URANIUM,0.61
2025,ISO-NE_VT,REF,GAS,3.04
2025,ISO-NE_VT,REF,COAL,2.2144
2025,ISO-NE_VT,REF,DISTILLATE,13.5966
2025,ISO-NE_VT,REF,RESIDUAL,9.1618
2025,ISO-NE_VT,REF,URANIUM,0.61
2025,ISO-NE_SEMA,REF,GAS,3.04
2025,ISO-NE_SEMA,REF,COAL,2.2144
2025,ISO-NE_SEMA,REF,DISTILLATE,13.5966
2025,ISO-NE_SEMA,REF,RESIDUAL,9.1618
2025,ISO-NE_SEMA,REF,URANIUM,0.61
2025,ISO-NE_WCMA,REF,GAS,3.04
2025,ISO-NE_WCMA,REF,COAL,2.2144
2025,ISO-NE_WCMA,REF,DISTILLATE,13.5966
2025,ISO-NE_WCMA,REF,RESIDUAL,9.1618
2025,ISO-NE_WCMA,REF,URANIUM,0.61
2025,ISO-NE_NEMA,REF,GAS,3.04
2025,ISO-NE_NEMA,REF,COAL,2.2144
2025,ISO-NE_NEMA,REF,DISTILLATE,13.5966
2025,ISO-NE_NEMA,REF,RESIDUAL,9.1618
2025,ISO-NE_NEMA,REF,URANIUM,0.61
2025,NYISO_A,REF,GAS,2.54
2025,NYISO_A,REF,COAL,2.2144
2025,NYISO_A,REF,DISTILLATE,13.5966
2025,NYISO_A,REF,RESIDUAL,9.1618
2025,NYISO_A,REF,URANIUM,0.61
2025,NYISO_B,REF,GAS,2.54
2025,NYISO_B,REF,COAL,2.2144
2025,NYISO_B,REF,DISTILLATE,13.5966
2025,NYISO_B,REF,RESIDUAL,9.1618
2025,NYISO_B,REF,URANIUM,0.61
2025,NYISO_C,REF,GAS,2.54
2025,NYISO_C,REF,COAL,2.2144
2025,NYISO_C,REF,DISTILLATE,13.5966
2025,NYISO_C,REF,RESIDUAL,9.1618
2025,NYISO_C,REF,URANIUM,0.61
2025,NYISO_D,REF,GAS,2.54
2025,NYISO_D,REF,COAL,2.2144
2025,NYISO_D,REF,DISTILLATE,13.5966
2025,NYISO_D,REF,RESIDUAL,9.1618
2025,NYISO_D,REF,URANIUM,0.61
2025,NYISO_E,REF,GAS,2.54
2025,NYISO_E,REF,COAL,2.2144
2025,NYISO_E,REF,DISTILLATE,13.5966
2025,NYISO_E,REF,RESIDUAL,9.1618
2025,NYISO_E,REF,URANIUM,0.61
2025,NYISO_F,REF,GAS,2.54
2025,NYISO_F,REF,COAL,2.2144
2025,NYISO_F,REF,DISTILLATE,13.5966
2025,NYISO_F,REF,RESIDUAL,9.1618
2025,NYISO_F,REF,URANIUM,0.61
2025,NYISO_G,REF,GAS,2.54
2025,NYISO_G,REF,COAL,2.2144
2025,NYISO_G,REF,DISTILLATE,13.5966
2025,NYISO_G,REF,RESIDUAL,9.1618
2025,NYISO_G,REF,URANIUM,0.61
2025,NYISO_H,REF,GAS,2.54
2025,NYISO_H,REF,COAL,2.2144
2025,NYISO_H,REF,DISTILLATE,13.5966
2025,NYISO_H,REF,RESIDUAL,9.1618
2025,NYISO_H,REF,URANIUM,0.61
2025,NYISO_I,REF,GAS,2.54
2025,NYISO_I,REF,COAL,2.2144
2025,NYISO_I,REF,DISTILLATE,13.5966
2025,NYISO_I,REF,RESIDUAL,9.1618
2025,NYISO_I,REF,URANIUM,0.61
2025,NYISO_J,REF,GAS,3.04
2025,NYISO_J,REF,COAL,2.2144
2025,NYISO_J,REF,DISTILLATE,13.5966
2025,NYISO_J,REF,RESIDUAL,9.1618
2025,NYISO_J,REF,URANIUM,0.61
2025,NYISO_K,REF,GAS,3.04
2025,NYISO_K,REF,COAL,2.2144
2025,NYISO_K,REF,DISTILLATE,13.5966
2025,NYISO_K,REF,RESIDUAL,9.1618
2025,NYISO_K,REF,URANIUM,0.61
2025,PJM_AECO,REF,GAS,2.54
2025,PJM_AECO,REF,COAL,2.2144
2025,PJM_AECO,REF,DISTILLATE,13.5966
2025,PJM_AECO,REF,RESIDUAL,9.1618
2025,PJM_AECO,REF,URANIUM,0.61
2025,PJM_APS,REF,GAS,2.54
2025,PJM_APS,REF,COAL,2.2144
2025,PJM_APS,REF,DISTILLATE,13.5966
2025,PJM_APS,REF,RESIDUAL,9.1618
2025,PJM_APS,REF,URANIUM,0.61
2025,PJM_AEP,REF,GAS,2.54
2025,PJM_AEP,REF,COAL,2.2144
2025,PJM_AEP,REF,DISTILLATE,13.5966
2025,PJM_AEP,REF,RESIDUAL,9.1618
2025,PJM_AEP,REF,URANIUM,0.61
2025,PJM_ATSI,REF,GAS,2.54
2025,PJM_ATSI,REF,COAL,2.2144
2025,PJM_ATSI,REF,DISTILLATE,13.5966
2025,PJM_ATSI,REF,RESIDUAL,9.1618
2025,PJM_ATSI,REF,URANIUM,0.61
2025,PJM_BGE,REF,GAS,2.54
2025,PJM_BGE,REF,COAL,2.2144
2025,PJM_BGE,REF,DISTILLATE,13.5966
2025,PJM_BGE,REF,RESIDUAL,9.1618
2025,PJM_BGE,REF,URANIUM,0.61
2025,PJM_COMED,REF,GAS,2.54
2025,PJM_COMED,REF,COAL,2.2144
2025,PJM_COMED,REF,DISTILLATE,13.5966
2025,PJM_COMED,REF,RESIDUAL,9.1618
2025,PJM_COMED,REF,URANIUM,0.61
2025,PJM_DAYTON,REF,GAS,2.54
2025,PJM_DAYTON,REF,COAL,2.2144
2025,PJM_DAYTON,REF,DISTILLATE,13.5966
2025,PJM_DAYTON,REF,RESIDUAL,9.1618
2025,PJM_DAYTON,REF,URANIUM,0.61
2025,PJM_DEOK,REF,GAS,2.54
2025,PJM_DEOK,REF,COAL,2.2144
2025,PJM_DEOK,REF,DISTILLATE,13.5966
2025,PJM_DEOK,REF,RESIDUAL,9.1618
2025,PJM_DEOK,REF,URANIUM,0.61
2025,PJM_DOM,REF,GAS,2.54
2025,PJM_DOM,REF,COAL,2.2144
2025,PJM_DOM,REF,DISTILLATE,13.5966
2025,PJM_DOM,REF,RESIDUAL,9.1618
2025,PJM_DOM,REF,URANIUM,0.61
2025,PJM_DPL,REF,GAS,2.54
2025,PJM_DPL,REF,COAL,2.2144
2025,PJM_DPL,REF,DISTILLATE,13.5966
2025,PJM_DPL,REF,RESIDUAL,9.1618
2025,PJM_DPL,REF,URANIUM,0.61
2025,PJM_DUQ,REF,GAS,2.54
2025,PJM_DUQ,REF,COAL,2.2144
2025,PJM_DUQ,REF,DISTILLATE,13.5966
2025,PJM_DUQ,REF,RESIDUAL,9.1618
2025,PJM_DUQ,REF,URANIUM,0.61
2025,PJM_JCPL,REF,GAS,2.54
2025,PJM_JCPL,REF,COAL,2.2144
2025,PJM_JCPL,REF,DISTILLATE,13.5966
2025,PJM_JCPL,REF,RESIDUAL,9.1618
2025,PJM_JCPL,REF,URANIUM,0.61
2025,PJM_METED,REF,GAS,2.54
2025,PJM_METED,REF,COAL,2.2144
2025,PJM_METED,REF,DISTILLATE,13.5966
2025,PJM_METED,REF,RESIDUAL,9.1618
2025,PJM_METED,REF,URANIUM,0.61
2025,PJM_PECO,REF,GAS,2.54
2025,PJM_PECO,REF,COAL,2.2144
2025,PJM_PECO,REF,DISTILLATE,13.5966
2025,PJM_PECO,REF,RESIDUAL,9.1618
2025,PJM_PECO,REF,URANIUM,0.61
2025,PJM_PENELEC,REF,GAS,2.54
2025,PJM_PENELEC,REF,COAL,2.2144
2025,PJM_PENELEC,REF,DISTILLATE,13.5966
2025,PJM_PENELEC,REF,RESIDUAL,9.1618
2025,PJM_PENELEC,REF,URANIUM,0.61
2025,PJM_PEPCO,REF,GAS,2.54
2025,PJM_PEPCO,REF,COAL,2.2144
2025,PJM_PEPCO,REF,DISTILLATE,13.5966
2025,PJM_PEPCO,REF,RESIDUAL,9.1618
2025,PJM_PEPCO,REF,URANIUM,0.61
2025,PJM_PPL,REF,GAS,2.54
2025,PJM_PPL,REF,COAL,2.2144
2025,PJM_PPL,REF,DISTILLATE,13.5966
2025,PJM_PPL,REF,RESIDUAL,9.1618
2025,PJM_PPL,REF,URANIUM,0.61
2025,PJM_PSEG,REF,GAS,2.54
2025,PJM_PSEG,REF,COAL,2.2144
2025,PJM_PSEG,REF,DISTILLATE,13.5966
2025,PJM_PSEG,REF,RESIDUAL,9.1618
2025,PJM_PSEG,REF,URANIUM,0.61
2025,PJM_RECO,REF,GAS,2.54
