Index_day,Map_day,Map_s
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,3,3
92,3,3
93,3,3
94,3,3
95,3,3
96,3,3
97,3,3
98,3,3
99,3,3
100,3,3
101,3,3
102,3,3
103,3,3
104,3,3
105,3,3
106,3,3
107,3,3
108,3,3
109,3,3
110,3,3
111,3,3
112,3,3
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,3
125,3,3
126,3,3
127,3,3
128,3,3
129,3,3
130,3,3
131,3,3
132,3,3
133,3,3
134,3,3
135,3,3
136,3,3
137,3,3
138,3,3
139,3,3
140,3,3
141,3,3
142,3,3
143,3,3
144,3,3
145,3,3
146,3,3
147,3,3
148,3,3
149,3,3
150,3,3
151,3,3
152,2,2
153,2,2
154,2,2
155,2,2
156,2,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,2,2
167,2,2
168,2,2
169,2,2
170,2,2
171,2,2
172,2,2
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,2,2
195,2,2
196,2,2
197,2,2
198,2,2
199,2,2
200,2,2
201,2,2
202,2,2
203,2,2
204,2,2
205,2,2
206,2,2
207,2,2
208,2,2
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,2
225,2,2
226,2,2
227,2,2
228,2,2
229,2,2
230,2,2
231,2,2
232,2,2
233,2,2
234,2,2
235,2,2
236,2,2
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,2
249,2,2
250,2,2
251,2,2
252,2,2
253,2,2
254,2,2
255,2,2
256,2,2
257,2,2
258,2,2
259,2,2
260,2,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,2,2
267,2,2
268,2,2
269,2,2
270,2,2
271,2,2
272,2,2
273,2,2
274,4,4
275,4,4
276,4,4
277,4,4
278,4,4
279,4,4
280,4,4
281,4,4
282,4,4
283,4,4
284,4,4
285,4,4
286,4,4
287,4,4
288,4,4
289,4,4
290,4,4
291,4,4
292,4,4
293,4,4
294,4,4
295,4,4
296,4,4
297,4,4
298,4,4
299,4,4
300,4,4
301,4,4
302,4,4
303,4,4
304,4,4
305,4,4
306,4,4
307,4,4
308,4,4
309,4,4
310,4,4
311,4,4
312,4,4
313,4,4
314,4,4
315,4,4
316,4,4
317,4,4
318,4,4
319,4,4
320,4,4
321,4,4
322,4,4
323,4,4
324,4,4
325,4,4
326,4,4
327,4,4
328,4,4
329,4,4
330,4,4
331,4,4
332,4,4
333,4,4
334,4,4
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
