hour,enduse_cat,share
1,com_cooling,6.99E-06
2,com_cooling,6.42E-06
3,com_cooling,5.91E-06
4,com_cooling,6.08E-06
5,com_cooling,6.20E-06
6,com_cooling,6.18E-06
7,com_cooling,7.50E-06
8,com_cooling,9.54E-06
9,com_cooling,1.18E-05
10,com_cooling,1.65E-05
11,com_cooling,2.18E-05
12,com_cooling,2.59E-05
13,com_cooling,2.87E-05
14,com_cooling,3.04E-05
15,com_cooling,3.02E-05
16,com_cooling,2.82E-05
17,com_cooling,2.42E-05
18,com_cooling,1.85E-05
19,com_cooling,1.47E-05
20,com_cooling,1.25E-05
21,com_cooling,1.07E-05
22,com_cooling,8.72E-06
23,com_cooling,7.97E-06
24,com_cooling,7.50E-06
25,com_cooling,6.31E-06
26,com_cooling,5.82E-06
27,com_cooling,5.64E-06
28,com_cooling,5.66E-06
29,com_cooling,5.83E-06
30,com_cooling,5.93E-06
31,com_cooling,7.26E-06
32,com_cooling,9.23E-06
33,com_cooling,1.08E-05
34,com_cooling,1.42E-05
35,com_cooling,1.87E-05
36,com_cooling,2.30E-05
37,com_cooling,2.67E-05
38,com_cooling,2.92E-05
39,com_cooling,2.94E-05
40,com_cooling,2.76E-05
41,com_cooling,2.40E-05
42,com_cooling,1.87E-05
43,com_cooling,1.54E-05
44,com_cooling,1.30E-05
45,com_cooling,1.13E-05
46,com_cooling,9.85E-06
47,com_cooling,9.21E-06
48,com_cooling,8.81E-06
49,com_cooling,7.50E-06
50,com_cooling,6.80E-06
51,com_cooling,6.61E-06
52,com_cooling,6.71E-06
53,com_cooling,7.12E-06
54,com_cooling,7.50E-06
55,com_cooling,9.61E-06
56,com_cooling,1.22E-05
57,com_cooling,1.43E-05
58,com_cooling,1.81E-05
59,com_cooling,2.13E-05
60,com_cooling,2.36E-05
61,com_cooling,2.51E-05
62,com_cooling,2.66E-05
63,com_cooling,2.73E-05
64,com_cooling,2.62E-05
65,com_cooling,2.29E-05
66,com_cooling,1.76E-05
67,com_cooling,1.42E-05
68,com_cooling,1.24E-05
69,com_cooling,1.11E-05
70,com_cooling,9.81E-06
71,com_cooling,9.11E-06
72,com_cooling,8.74E-06
73,com_cooling,7.57E-06
74,com_cooling,7.13E-06
75,com_cooling,6.90E-06
76,com_cooling,6.77E-06
77,com_cooling,6.80E-06
78,com_cooling,6.81E-06
79,com_cooling,7.90E-06
80,com_cooling,9.76E-06
81,com_cooling,1.19E-05
82,com_cooling,1.60E-05
83,com_cooling,2.11E-05
84,com_cooling,2.60E-05
85,com_cooling,2.99E-05
86,com_cooling,3.22E-05
87,com_cooling,3.26E-05
88,com_cooling,3.12E-05
89,com_cooling,2.70E-05
90,com_cooling,2.03E-05
91,com_cooling,1.64E-05
92,com_cooling,1.39E-05
93,com_cooling,1.23E-05
94,com_cooling,1.11E-05
95,com_cooling,1.05E-05
96,com_cooling,1.00E-05
97,com_cooling,8.43E-06
98,com_cooling,7.69E-06
99,com_cooling,7.39E-06
100,com_cooling,7.21E-06
101,com_cooling,7.23E-06
102,com_cooling,6.90E-06
103,com_cooling,7.79E-06
104,com_cooling,9.82E-06
105,com_cooling,1.24E-05
106,com_cooling,1.81E-05
107,com_cooling,2.40E-05
108,com_cooling,2.98E-05
109,com_cooling,3.44E-05
110,com_cooling,3.74E-05
111,com_cooling,3.79E-05
112,com_cooling,3.58E-05
113,com_cooling,3.09E-05
114,com_cooling,2.28E-05
115,com_cooling,1.78E-05
116,com_cooling,1.51E-05
117,com_cooling,1.33E-05
118,com_cooling,1.16E-05
119,com_cooling,1.08E-05
120,com_cooling,1.04E-05
121,com_cooling,8.96E-06
122,com_cooling,8.12E-06
123,com_cooling,7.46E-06
124,com_cooling,7.33E-06
125,com_cooling,7.28E-06
126,com_cooling,6.73E-06
127,com_cooling,7.58E-06
128,com_cooling,9.37E-06
129,com_cooling,1.14E-05
130,com_cooling,1.58E-05
131,com_cooling,2.06E-05
132,com_cooling,2.54E-05
133,com_cooling,2.99E-05
134,com_cooling,3.29E-05
135,com_cooling,3.38E-05
136,com_cooling,3.29E-05
137,com_cooling,2.93E-05
138,com_cooling,2.24E-05
139,com_cooling,1.84E-05
140,com_cooling,1.61E-05
141,com_cooling,1.45E-05
142,com_cooling,1.27E-05
143,com_cooling,1.12E-05
144,com_cooling,1.07E-05
145,com_cooling,9.11E-06
146,com_cooling,8.21E-06
147,com_cooling,7.72E-06
148,com_cooling,7.66E-06
149,com_cooling,7.68E-06
150,com_cooling,7.74E-06
151,com_cooling,8.16E-06
152,com_cooling,8.83E-06
153,com_cooling,1.11E-05
154,com_cooling,1.54E-05
155,com_cooling,2.00E-05
156,com_cooling,2.44E-05
157,com_cooling,2.85E-05
158,com_cooling,3.09E-05
159,com_cooling,3.08E-05
160,com_cooling,3.01E-05
161,com_cooling,2.74E-05
162,com_cooling,2.20E-05
163,com_cooling,1.92E-05
164,com_cooling,1.73E-05
165,com_cooling,1.58E-05
166,com_cooling,1.39E-05
167,com_cooling,1.30E-05
168,com_cooling,1.25E-05
169,com_cooling,1.11E-05
170,com_cooling,1.02E-05
171,com_cooling,9.89E-06
172,com_cooling,9.97E-06
173,com_cooling,1.03E-05
174,com_cooling,1.06E-05
175,com_cooling,1.35E-05
176,com_cooling,1.67E-05
177,com_cooling,1.96E-05
178,com_cooling,2.45E-05
179,com_cooling,2.98E-05
180,com_cooling,3.52E-05
181,com_cooling,3.96E-05
182,com_cooling,4.17E-05
183,com_cooling,4.17E-05
184,com_cooling,4.06E-05
185,com_cooling,3.73E-05
186,com_cooling,3.05E-05
187,com_cooling,2.50E-05
188,com_cooling,2.17E-05
189,com_cooling,1.93E-05
190,com_cooling,1.65E-05
191,com_cooling,1.52E-05
192,com_cooling,1.44E-05
193,com_cooling,1.27E-05
194,com_cooling,1.16E-05
195,com_cooling,1.14E-05
196,com_cooling,1.15E-05
197,com_cooling,1.20E-05
198,com_cooling,1.23E-05
199,com_cooling,1.56E-05
200,com_cooling,1.93E-05
201,com_cooling,2.28E-05
202,com_cooling,2.89E-05
203,com_cooling,3.60E-05
204,com_cooling,4.28E-05
205,com_cooling,4.78E-05
206,com_cooling,5.06E-05
207,com_cooling,5.11E-05
208,com_cooling,4.93E-05
209,com_cooling,4.42E-05
210,com_cooling,3.49E-05
211,com_cooling,2.79E-05
212,com_cooling,2.35E-05
213,com_cooling,2.04E-05
214,com_cooling,1.70E-05
215,com_cooling,1.53E-05
216,com_cooling,1.44E-05
217,com_cooling,1.25E-05
218,com_cooling,1.13E-05
219,com_cooling,1.10E-05
220,com_cooling,1.10E-05
221,com_cooling,1.15E-05
222,com_cooling,1.25E-05
223,com_cooling,1.67E-05
224,com_cooling,2.14E-05
225,com_cooling,2.59E-05
226,com_cooling,3.30E-05
227,com_cooling,4.13E-05
228,com_cooling,4.91E-05
229,com_cooling,5.53E-05
230,com_cooling,5.92E-05
231,com_cooling,6.03E-05
232,com_cooling,5.83E-05
233,com_cooling,5.22E-05
234,com_cooling,4.29E-05
235,com_cooling,3.64E-05
236,com_cooling,3.22E-05
237,com_cooling,2.86E-05
238,com_cooling,2.38E-05
239,com_cooling,2.14E-05
240,com_cooling,2.02E-05
241,com_cooling,1.79E-05
242,com_cooling,1.64E-05
243,com_cooling,1.63E-05
244,com_cooling,1.65E-05
245,com_cooling,1.73E-05
246,com_cooling,1.91E-05
247,com_cooling,2.76E-05
248,com_cooling,3.39E-05
249,com_cooling,4.06E-05
250,com_cooling,5.03E-05
251,com_cooling,6.12E-05
252,com_cooling,7.10E-05
253,com_cooling,7.74E-05
254,com_cooling,7.98E-05
255,com_cooling,7.87E-05
256,com_cooling,7.44E-05
257,com_cooling,6.49E-05
258,com_cooling,5.19E-05
259,com_cooling,4.27E-05
260,com_cooling,3.68E-05
261,com_cooling,3.20E-05
262,com_cooling,2.62E-05
263,com_cooling,2.32E-05
264,com_cooling,2.11E-05
265,com_cooling,1.82E-05
266,com_cooling,1.69E-05
267,com_cooling,1.69E-05
268,com_cooling,1.71E-05
269,com_cooling,1.82E-05
270,com_cooling,1.97E-05
271,com_cooling,2.94E-05
272,com_cooling,3.67E-05
273,com_cooling,4.31E-05
274,com_cooling,5.22E-05
