region,year,hour,Dual
1,2023,1,12100
1,2023,2,11066.666666666666
1,2023,3,10600
1,2023,4,11566.666666666666
1,2023,5,13200
1,2023,6,11844.897959183669
1,2023,7,11333.333333333334
1,2023,8,13200
1,2023,9,13200
1,2023,10,12566.666666666666
1,2023,11,11566.666666666666
1,2023,12,13200
1,2023,13,12833.333333333334
1,2023,14,12847.619047619022
1,2023,15,12833.333333333334
1,2023,16,12833.333333333334
1,2023,17,13200
1,2023,18,12566.666666666666
1,2023,19,12200
1,2023,20,13200
1,2023,21,13200
1,2023,22,13200
1,2023,23,13933.333333333334
1,2023,24,13933.333333333334
1,2023,25,13933.333333333334
1,2023,26,13200
1,2023,27,13933.333333333334
1,2023,28,14666.666666666666
1,2023,29,14666.666666666666
1,2023,30,13933.333333333334
1,2023,31,13200
1,2023,32,13933.333333333334
1,2023,33,15466.666666666666
1,2023,34,13933.333333333334
1,2023,35,12847.619047619024
1,2023,36,15433.333333333334
1,2023,37,15566.666666666666
1,2023,38,14666.666666666666
1,2023,39,13200
1,2023,40,15500
1,2023,41,16233.333333333334
1,2023,42,14666.666666666666
1,2023,43,13200
1,2023,44,16166.666666666666
1,2023,45,15566.666666666666
1,2023,46,14666.666666666666
1,2023,47,13200
1,2023,48,15500
1,2023,49,16933.333333333332
1,2023,50,14700
1,2023,51,13200
1,2023,52,16200
1,2023,53,19133.333333333332
1,2023,54,15433.333333333334
1,2023,55,13933.333333333334
1,2023,56,17633.333333333332
1,2023,57,20000
1,2023,58,15466.666666666666
1,2023,59,13933.333333333334
1,2023,60,17633.333333333332
1,2023,61,21633.333333333332
1,2023,62,15500
1,2023,63,14112.925170068005
1,2023,64,19300
1,2023,65,13200
1,2023,66,12233.333333333334
1,2023,67,10600
1,2023,68,12866.666666666666
1,2023,69,13200
1,2023,70,12000
1,2023,71,10833.333333333334
1,2023,72,12866.666666666666
1,2023,73,14733.333333333334
1,2023,74,12566.666666666666
1,2023,75,11337.162236823073
1,2023,76,13966.666666666666
1,2023,77,16933.333333333332
1,2023,78,14733.333333333334
1,2023,79,13200
1,2023,80,15566.666666666666
1,2023,81,13200
1,2023,82,12233.333333333334
1,2023,83,10978.23129
1,2023,84,13200
1,2023,85,13200
1,2023,86,12533.333333333334
1,2023,87,12233.333333333334
1,2023,88,13200
1,2023,89,13200
1,2023,90,12233.333333333334
1,2023,91,11366.666666666666
1,2023,92,13200
1,2023,93,13200
1,2023,94,12866.666666666666
1,2023,95,12866.666666666666
1,2023,96,13200
2,2023,1,15000
2,2023,2,14200
2,2023,3,13833.333333333334
2,2023,4,15000
2,2023,5,15000
2,2023,6,14200
2,2023,7,13966.666666666666
2,2023,8,15000
2,2023,9,15000
2,2023,10,14233.333333333334
2,2023,11,13966.666666666666
2,2023,12,15000
2,2023,13,15000
2,2023,14,14233.333333333334
2,2023,15,13975.857281688166
2,2023,16,15000
2,2023,17,15000
2,2023,18,14233.333333333334
2,2023,19,14209.190615021498
2,2023,20,15000
2,2023,21,15000
2,2023,22,14366.666666666666
2,2023,23,14375.857281688164
2,2023,24,15000
2,2023,25,15000
2,2023,26,14375.857281688164
2,2023,27,14375.857281688164
2,2023,28,15000
2,2023,29,15000
2,2023,30,14659.863945578201
2,2023,31,14659.86395
2,2023,32,15000
2,2023,33,16000
2,2023,34,14600
2,2023,35,14366.666666666666
2,2023,36,16500
2,2023,37,16500
2,2023,38,14666.666666666666
2,2023,39,14666.666666666666
2,2023,40,16500
2,2023,41,16500
2,2023,42,14766.666666666666
2,2023,43,14766.666666666666
2,2023,44,16500
2,2023,45,18300
2,2023,46,14766.666666666666
2,2023,47,14766.666666666666
2,2023,48,20100
2,2023,49,18300
2,2023,50,14766.666666666666
2,2023,51,14766.666666666666
2,2023,52,20100
2,2023,53,18300
2,2023,54,14766.666666666666
2,2023,55,15000
2,2023,56,22166.666666666668
2,2023,57,21533.333333333332
2,2023,58,14766.666666666666
2,2023,59,15000
2,2023,60,25400
2,2023,61,20366.666666666668
2,2023,62,15000
2,2023,63,15000
2,2023,64,26566.666666666668
2,2023,65,15500
2,2023,66,14200
2,2023,67,14200
2,2023,68,15500
2,2023,69,15500
2,2023,70,14200
2,2023,71,14200
2,2023,72,16000
2,2023,73,16500
2,2023,74,14366.666666666666
2,2023,75,14366.666666666666
2,2023,76,16000
2,2023,77,16000
2,2023,78,14366.666666666666
2,2023,79,14200
2,2023,80,16000
2,2023,81,15500
2,2023,82,14366.666666666666
2,2023,83,14200
2,2023,84,16000
2,2023,85,16000
2,2023,86,14366.666666666666
2,2023,87,14200
2,2023,88,16000
2,2023,89,15000
2,2023,90,14200
2,2023,91,14200
2,2023,92,15500
2,2023,93,15000
2,2023,94,14366.666666666666
2,2023,95,14200
2,2023,96,15000
3,2023,1,8325.115646
3,2023,2,8200
3,2023,3,9100
3,2023,4,8569.333333333334
3,2023,5,9100
3,2023,6,9100
3,2023,7,9586
3,2023,8,9100
3,2023,9,9100
3,2023,10,9100
3,2023,11,9749.333333333334
3,2023,12,9100
3,2023,13,9100
3,2023,14,9100
3,2023,15,9792.693877551004
3,2023,16,9100
3,2023,17,9792.693877551004
3,2023,18,9100
3,2023,19,9792.693877551004
3,2023,20,9100
3,2023,21,9100
3,2023,22,9424.666666666666
3,2023,23,10558
3,2023,24,9163.333333333334
3,2023,25,10401.36054421767
3,2023,26,9100
3,2023,27,10458
3,2023,28,10259.36054421767
3,2023,29,9998.027210884336
3,2023,30,9163.333333333334
3,2023,31,10118
3,2023,32,9163.333333333334
3,2023,33,8533.333333333334
3,2023,34,7800
3,2023,35,7800
3,2023,36,9100
3,2023,37,9100
3,2023,38,9100
3,2023,39,9030.666666666666
3,2023,40,9100
3,2023,41,10700
3,2023,42,9100
3,2023,43,9100
3,2023,44,10654
3,2023,45,10196.666666666666
3,2023,46,9100
3,2023,47,9100
3,2023,48,10754
3,2023,49,10991.393042849639
3,2023,50,10601.36054421767
3,2023,51,10509.65333333333
3,2023,52,10852
3,2023,53,11600
3,2023,54,10800
3,2023,55,10558
3,2023,56,11866.666666666666
3,2023,57,12100
3,2023,58,10800
3,2023,59,10608.276776639541
3,2023,60,12000
3,2023,61,12133.333333333334
3,2023,62,10800
3,2023,63,10800
3,2023,64,12113.605442176873
3,2023,65,7933.333333333333
3,2023,66,8066.666666666667
3,2023,67,8366.666666666666
3,2023,68,8198.666666666666
3,2023,69,8602.693333
3,2023,70,8066.666666666667
3,2023,71,8800
3,2023,72,9065.333333333334
3,2023,73,7800
3,2023,74,7800
3,2023,75,7800
3,2023,76,7800
3,2023,77,9100
3,2023,78,8543.662833305665
3,2023,79,8632
3,2023,80,9100
